,Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects,id
1,https://media.britishmuseum.org/media/Repository/Documents/2015_4/16_17/d722179d_a636_400f_bb7d_a47c011eda26/preview_1887_spiral.jpg,artefact,"No: 1887,0717.144",,,,Conical spirals representing the curled hair of the Buddha and probably from a Buddha image; made of incised terracotta.,,,,,,,Early Historic,3rdC BC-2ndC (circa),,Found/Acquired: Bodhgayā,terracotta,,,incised,Length: 0.95 inches,,,,Not on display,,,,Representation of: Buddha,,,,Donated by: Maj-Gen Sir Alexander Cunningham,,,,1887,,,Asia,,"1887,0717.144",,,,,18870717144
2,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/de720d58_3f7c_4227_bdcf_a3b5011465ce/preview_00146069_001.jpg,base,"No: 1892,0801.11",,,,"Corner of a carved base with part of a foot, probably of a standing Buddha image. On top are the remains of a bare right foot, and in the framed scene below two male figures in uttarīya with hands joined are turned towards its centre where vestiges of a seated figure are barely distinguishable. In the corner is a Corinthian pilaster with remains of a recessed oblong panel on both faces of the shaft and on the side a half-palmette spreads from the pilaster. A sawtooth cornice ran above.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 8.30 centimetres; Height: 13.20 centimetres; Width: 11.30 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, exfoliated and with soil incrustation. 
2.Corner only with top flat and smooth; top with damaged foot; left side carved; bottom flat with cramp mortise to right as if to attach a complementary piece. 
3.All other faces unevenly broken.",buddha; devotee/worshipper,,,,,From: Sir Augustus Wollaston Franks,,,,1892,,,Asia,,"1892,0801.11",,,,,1892080111
3,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_22/f87105fc_0b03_4815_a0aa_a3b801756c08/preview_00341100_001.jpg,base,"No: 1890,1116.1",The Hashtnagar Pedestal (Object),,,"Carved image base, inscribed with a date in the year 384 of an unknown era. A seated and haloed Bodhisattva, turned slightly to his right and almost bare to the waist, wears his uttarīya in the narrow mode across the lap. The damaged right hand was presumably in abhaya, while the left holds a water pot. He has long hair crowned by a large chignon drawn in by a band at its base, a collar, necklace and earrings. The face is oval and full, the eyes are a little narrow with distinct lids. The seat has legs with claws at the foot and drapery in between with pendent folds and gathered at the sides. A plain little footstool is below. The Bodhisattva is flanked on his right by Brahmā wearing an uttarīya, a paridhāna and long hair below a horizontal and knotted length probably looped at one end; his hands are damaged and may have been joined, but perhaps his left hand supports from below an offering held in the right. His face is long, the chin a little pointed, the eyes rounded and prominent. On the Bodhisattva's left the standing figure with hands cupped and joined as if holding something, wearing a turban with a globular ornament in the crest, earrings, collar and necklace, uttarīya and paridhāna, appears to be Indra. On the Bodhisattva's far right a damaged standing male figure, whose feet appear shod, wears the uttarīya in the wide mode, earrings, a large chignon on the back of his head and an offering in his cupped left hand with bracelet; the right arm is almost lost. The framing pilasters, continued on the sides, have a recessed oblong panel with curved top and bottom on the shaft, a two-tier Corinthian capital with pronounced volutes and abacus and the usual base; above is a sawtooth cornice and on the sides are indications of a palmette.
This dated base, called after the Hashtnagar or stretch of eight villages in which it was found, is said to have belonged to a Buddha image now no longer traceable but formerly, and with its head replaced, under worship at Rājaṛ. The base now lacks all trace of the figure above.",,,,,,,,384,Made in: Gandhara (Pakistan),Excavated/Findspot: Palatu-dheri;  Found/Acquired: Rajar,schist,,,carved,Diameter: 7 centimetres; Height: 20.50 centimetres; Weight: 11 kilograms; Width: 38 centimetres,Inscription type: inscription Inscription position: along bottom front edge Inscription language: Prakrit Inscription script: Kharoshthi Inscription note: Dated the fifth day of the month of Praustapada in the year 384 of an unknown era.,"The headless statue and pedestal was dug up some time in the 19th century by a local tradesman quarrying the mound for stone. It was given the head originally from another statue and set up for worship in a pilgrims' rest house at Rājaṛ. In 1883 White King was allowed to cut off the inscribed pedestal and take it away for study.
Among the groups with a Bodhisattva flanked by Brahmā and Indra or other figures he sees as representing the Instigation (saṃcodana) of Siddhārtha to abandon the secular life, Foucher specifies this panel as an example, explaining the water pot as symbolising the Bodhisattva's spiritual intentions, although it does not occur on all the examples he proposes for this subject. Framed representations of a Bodhisattva with water pot are indeed found associated with narrative scenes from the Buddha's life but not in unambiguous sequences to confirm an identification.; Zwalf 1996:
For the Instigation (saṃcodana) on earth the texts relate how Indra, Brahmā and other gods urge the Bodhisattva to leave the palace. For this theme see BM 1890.1116.1.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum; Errington 1999/2000 / Numismatic evidence for dating the Buddhist remains of Gandhara,On display (G1/wp143),"Exhibited:
2000 14 May-29 Oct, Germany, Berlin, Martin-Gropius-Bau, Seven Hills – Images and Signs of the 21st Century","1.Grey schist, broken and chipped.
2.Top and back sawn off in modern times; sides carved; bottom fiat and rough.",bodhisattva; buddhist deity,Representation of: Brahmā/Bonten;  Representation of: Indra/Sakka/Taishakuten;  Representation of: Buddha (Śākyamuni/Shijiamouni/Shaka),,Associated Event: The Instigation,,Exchanged with: Sir Lucas White King,,,,1890,"Originally received in the Department of Coins and Medals from Mr L. White King, by whom it was obtained in situ c. 1883, in exchange for duplicates.",,Asia,,"1890,1116.1",,,,,189011161
4,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_13/6fc9bbb1_5fb9_4ba1_ad45_a3b600e286f6/preview_00011865_001.jpg,base,"No: 1902,1002.17",,,,"Carved base with an indistinct foot, probably of a standing Buddha image, and part of a scene on the face. Although the foot is very abraded, there seems no trace of a sandal. On the face is a columnar fire-altar with worshippers; from a crowning bowl ringed with a pair of grooves, flames rise into the cornice; beneath it are two roughly domed members ringed with a pair of grooves, a shaft similarly ringed and, forming the base, a plinth, torus and fillet. On one side stands a male figure with hands joined; he wears a short-sleeved tunic and an uttarīya, earrings, a collar with vestiges of a pattern, and bracelets. His large oval head has a knotted and horizontal length of hair looped at one end above wavy hair and he wears a large moustache. Opposite are three women, two of whom are full-length figures in a long, probably draped garment like an uttarīya in the wide mode, with a scarf ending in a tassel, a chignon above a wreath headdress, collar, necklace and earrings; they also join their hands. The third figure, between them, appears similarly dressed but lacks a long necklace. The crudely carved Corinthian framing pilaster continues onto the side under a sawtooth cornice but only the shaft facing has an outlined oblong panel.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Buner;  Found/Acquired: Swat Valley,schist,,,carved,Diameter: 12.20 centimetres; Height: 35.60 centimetres; Width: 27.30 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken and exfoliated.
2.Top surface smooth but foot very rough; left side broken; right side with pilaster and vestige of carving; bottom extremely rough and uneven. 
3.Back rough and unevenly broken.",fire altar; devotee/worshipper,,,,,Donated by: Capt B C Waterfield,,,,1902,,,Asia,,"1902,1002.17",,,,,1902100217
5,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_5/6cb672eb_0f39_450a_99f1_a3bb005968a9/preview_00303744_001.jpg,block,"No: 1880,0709.40",,,,A rectangular slab carved in limestone ('Palnad marble') with a stupa flanked by standing worshippers;  the Buddha is seated in the gateway in abhaya mudra (gesture of banishing fear).,,,,,,,,3rdC,Made in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved,Height: 52.50 centimetres; Thickness: 6.80 centimetres; Width: 37.50 centimetres,,,"Tripe 1859 / Photographs of the Elliot Marbles and other subjects in the Central Museum, Madras; Fergusson 1873 / Tree and Serpent Worship (left, 2nd row from bottom); Barrett 1954 / Sculptures from Amaravati in the British Museum; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa",Not on display,,,buddha; devotee/worshipper,Associated with: Buddha,Used in: Amaravati,,,Transferred from: India Museum,,,,1880,"Acquired as the result of the abolition in 1879 of the India Museum (Exhibition Road, London) and the partition of its contents between the British Museum and The South Kensington Museum (Victoria and Albert Museum).",,Asia,,"1880,0709.40",Miscellaneous number: Elliot no 98,,,,1880070940
6,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/73e4306c_b2e7_4e04_bcbb_a3b501124766/preview_00145352_001.jpg,block,No: 1880.360,,,,"Fragment, possibly of a trapezoidal slab, showing a seated monk and other figures. The monk, on a strewn scat, turned towards the presumed central Buddha and with his covered hands in his lap, wears the robe with both shoulders covered and paired grooves indicating the drapery folds. Behind is a worshipping figure in uttarīya and paridhāna; above, another figure may be throwing flowers and, beside and perhaps turned towards the first monk, there may be another. The vestige of a half-pilaster is on the right.",,,,,,,,2ndC-3rdC,,Found/Acquired: Pakistan,schist,,,carved,Diameter: 6.10 centimetres; Height: 16.50 centimetres; Width: 12.50 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Dark grey schist, broken and exfoliated.
2.Top flat; right side flat and pitted; left side irregularly broken; bottom rough and uneven. 
3.Back with some horizontal chisel grooves.",monk/nun,,,Associated Event: First Sermon of the Buddha,,,,,,,"Stated on the old inscribed British Museum stand to have been purchased in 1879, but there is at present no Register or other evidence for the history of this piece.",,Asia,,1880.360,,,,,1880360
7,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_16/109c2158_7e45_4c4f_8e79_a3b6010a5fe0/preview_00021679_001.jpg,block,"No: 1880,0709.67",,,,Inscription slab. Rectangular slab carved in limestone ('Palnad marble') with a twenty-line text. The slab has a rounded top left corner and has been cut off along its right side with the loss of a proportion of the inscription.,,,,,,,,7thC-8thC (or later),Lustred in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved; engraved,Height: 147.30 centimetres; Thickness: 7.50 centimetres; Width: 44.50 centimetres,"Inscription type: inscription Inscription position: across the entire face of the slab from top to bottom Inscription language: Sanskrit Inscription script: Brahmi Inscription transliteration: ""1......ye nanyasu tirtthika(?)-davatasu...
2.....rena va matrikadharena va silavata...
3...m paripalaniyam chivara-pindapata-sayanasa..
4.  karttavyam suraavinayabhidharmma-pathakair bhbhikshu (bhih?)...
5.  rajikam apattim apannena na vastavyam samghavasesha...
6.  nyatha pratichchhade satina vastavyam samgho yada...
7.  tekam datavyam silasampannebhyo sramanerebhyah pita (?)...
8.  tavyam dharmmakathikakya triguno labhah bauddha-tarika...
9.  sya avasthanan na datavyam saddharmmalekhakaya dviguno l(abhah)...
10. ghatastuparajaya masam pratimasam pu...
11. nulepanaih vaisakha-purnnamasyam visesha...
12. prati utsukena parivarena bhavitavyam iti ma(?)...
13. matradikasya va mama punyaraser bhbhago bha...
14. trighataka--pitrighataka--arhhadghataka--devadvi(j?)
15. mahapapakarinam gatim ye na paripalayanti bhu...
16. jna samgha-sanmilanam kritva mahaghoro(')ghih pra...
17. ro tavat tishthatu buddhasya sasanam lokasasanam abhi...
18. lamba-sakho sasanavrikshas chiram sthatu || sthatu chi...
19. samagro sarvvo cha loko sukhi bhavatu || yavad...
20. --d vichitaramga-prachalita makarashobhitambus sa
[Transliteration by Dr Eggeling, Prof. of Sanskrit in the Edinburgh University, published in Sewell 1880, 65] Inscription translation: I. [Eggeling, 1880, published in R. Sewell, ""Report on the Amaravati Tope"", London 1880, pages 65-66]: 
1.  ...(By whom) towards other deities of (Brahmanical) ascetics ?...
2.  ...or by one who holds the transcendental doctrine (matrika=abhidharma), or by one of  good character...
3.  should be kept up the mendicant's garment and almsgiving and sleeping...
4.  should be done by those who study the Sutra, Vinaya, and Abhidharma (the three divisions of the Buddhist canon), (by?) mendicant friars...
5.--?--by (or with?) one who has fallen into misfortune whould not be dwelt. A transgression that can be remitted by the assembly...
6  if there is otherwise shelter, one should not dwell.  When the assembly...
7.--?--it is to be given, to respectabale novices...
8.--?--for one who promulgates the Law there is a threefold benefit---redeeming (?) the Buddhist...
9.   shelter is not to be given; for the copier of the good Law there is a twofold  benefit...
10. ? to the royal (ghat--?) tope, --month--month by month...
11. with unguents on the full moon of the month Vaisakh, special (or speciality)...
12. ?--(by) a zealous retinue---there is to be,"" thus...
13. (may there be) a share of the heap of merit for me, and before me, for my (father and) mother...
14. (mo)ther-killing--father-killing--Arhat-killing--Gods-twice-(born)--...
15. of those who commit great sins, who do not mind their future state (?)
16. A most terrible fire having caused the closing of the Assembly...
17.--?--? So long may stand Buddha's law as the Law of the world!--
18. the hanging-boughed tree of the Law, may long stand! May long stand...
19. may the whole and entire world be happy! As long as...
20. (As long as the ocean?) has its waters agitated by sea-monsters roused by the tossing of the waves!
II.  [Prinsep 1837, 222-223]:""----By the virtous man who relieves the guest and the brahman, and who is kind to parents, the fear of necessary food ought not to be entertained.  he who experiences disappointment near a king feasting with even the mild opposers of virtue, ought not to abide there, nor ought he to abide where injustice is practised.  We ought to give to all.  Food ought to be give to the laborers who are virtuous. Three-fold gain should be given to the speaker of truth.  Place is not to be give to the disputer of Buddhism.  Two-fold gain should be given to the teacher of religion. To the good king tribute must be paid monthly with flowers and perfumes, and on the full mooon in the month Vaishakha he ought in particular to be presented with the jar.  My virtue and that of my ancestors is for the salvation of murderers of husbands, murderers of fathers, and murderers of friends, and of those who have committed great sins against the gods and brahmans. The kings that do not regard this kingdom preserving religion of Buddha, shall by it be cut off with all their family and perish in a flaming fire.  May this very excellent religion of the people resembling a tree, remain in heaven for ever, and may people in all directins through its remaining, be happy as long as the sea continues to be agitated by marine monsters..."". Inscription note: A twenty-line text. It deals with matters of Buddhist principle and contains no historical data, ruler's names or dates. A photocopy of Prinsep's article (1837) is kept in the Dept of Asia. His transcription of the text was published in nagari script along with an English translation (here, above). Eggeling, whose work on this text has been standard since he did it, commented that he thought ""only the first (and perhaps smaller) portion of each line has been preserved"" (Sewell 1880, 66).",Dr Eggeling opined that the inscription was dateable to the 6th century; Sewell kept to an 8th century date.,Prinsep 1837 / Facsimiles of ancient Manuscripts; Fergusson 1873 / Tree and Serpent Worship (site plan with findspot marked); Sewell 1880 / Report on the Amaravati Tope; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa; Shimada and Willis 2016 / Amaravati: The Art of an Early Buddhist Monument in Context,Not on display,,Good condition save for the cutting down of the slab from top to bottom and the consequent loss of much of the text.,,,Used in: Amaravati,,,,,,,1880,"From the Mackenzie collection.  It is marked on Mackenzie's plan of the site as 'Inscription' and comes from the northern part of monument in the area of the north gateway.  According to Sewell (1880, 63), it was with a group of marbles Mackenzie entrusted a to Major Cotgrove who took them to Masulipatam in about 1816, after which date it was never seen until rediscovered by Sewell at South Kensington in 1880 as it was about to be sent to the BM. According to Sewell (1880, 63) this slab came not from the India Museum but from the 'India Office Stores'.",,Asia,,"1880,0709.67",,,,,1880070967
8,https://media.britishmuseum.org/media/Repository/Documents/2015_7/17_12/afd8aca5_d22a_42af_ae3c_a4d800c798e6/preview_gaa36598.jpg,cameo,"No: 1824,0301.49",,,,Sardonyx cameo engraved with a tethered goat lying down.,,,,,,,Roman Imperial,1stC-2ndC,,,sardonyx,,,engraved,Height: 3.10 centimetres; Width: 3.90 centimetres; Depth: 1 centimetres,,"Text from Payne Knight's Latin manuscript catalogue
49) Hircus capistratus, dextrorsum recumbens, cornibus praelongis, e strato fusco pellucido onychis Indicae pulcherissimae et splendissimae, alii albo opaco inhaerente, egregie exsculptus  et expolitus, opere perantiquo, malleo et scalpello, non terebra et rota; ita tamen scite et eleganter, ut vix verius aliquid, pulchrius, aut absolutius, Graeci artifices optimorum etiam temporum unquam finxerunt. Equi et tauri fraenati et capistrati in nummis Cretensium et Archelai Macedonum regis sunt obvii; atque hirci species non alia est quam ea, quae in [Celeraditarum] nummis argenteis exhibitur; ita ut opus Graecum Asiaticum antiquissimam esse puterem. Sunt tamen qui Indorum trinorum potius esse crediderint; quorum imperium, tam sacrum quam civile, a Brachmanis, circa annum sescentesimus ante Christum natum, ita funditus eversum est, ut pauca tantum et parum certa de eo e fabulosis utriusque gentis traditionibus acceperimus. Latissimum autem, et florentissimum fuisse; atque bonarum artium cultu et elegantia longe felicius et ornatius, quam eorum qui everso successerunt, reliquiae et fragmenta, inter urbium veterum rudera, multis in locis effossa, et adhuc asservata satis testantur*; neque a ratione abhorret, artem exsculpendi imagunculos ex huiusmodi lapidibus duris et pretiosis, ab hac gente ad Graecos pervenisse; traditis per commercium Medorum Persarumque, quorum imperium Indorum fines premebant, exemplis cum materia: Aegyptii enim veteres, neque exsculpendi neque insculpendi hosce lapides artem, unquam calluisse omnino videntur; neque Graeci ante Medica tempora priorem exercuisse, etsi alteram [Pelepodarum?] etiam seculo haud ignorarent: huic enim lapides indigenae materiam idoneam praebebant; dum illi lapidibus Indicis bicoloribus opus omnino fuit; atque exempla antiquiora omnia, more adhuc apud Indos Persasque vigente, instrumentis scilicet imperfectioribus malleo et scalpello, sine rota et terebra, exsculpta vel potius extusa, et deinde multo labore perpolita sunt. Quid Manius in hac arte profecerint, ne probabili quidem coniectura ullo modo assequi possumus; sed ut eam exercuerint vix dubitandum est.
*vide Asiatic Researches vol: IX. Moores Hindu Pantheon and Catalogue Art: Buddha.
Translation
A bound goat, lying to the right, with very long horns, carved out excellently and finished from a dark, translucent layer of the most beautiful and bright Indian onyx, adhering to a white opaque one elsewhere, in a most ancient work, using a hammer and scalpel, not a borer and a wheel; nevertheless so skilfully and elegantly, that Greek artists even of the best periods scarcely ever fashioned anything more genuine, beautiful, or excellent. Bridled and bound horses and bulls are known on Cretan coins and those of King Archelaus of Macedonia; and a type of goat not different to this, which has been represented on the silver coins of [text unclear]; thus I thought the work to be very ancient Greek Asiatic. Nevertheless there are those who believed rather that it was from the Indus Valley civilisation; the empire of whom, as holy as civic, was thus overthrown completely by the Brahmins, around the six hundredth year before the birth of Christ, so that we have received only few and not sufficiently certain things about this from the richly mythical traditions of each people. However, remains and fragments among the ruins of the ancient cities, that have been dug up in many places, and preserved until now, demonstrate satisfactorily enough that it was very extensive and flourishing; and more productive and more distinguished by far in terms of the cultivation of the fine arts and taste, than the empire of those who succeeded them after they had been overthrown*; nor is it unreasonable to infer that statuettes made by the art of carving out hard and precious stones of this kind, reached the Greeks from this people; with specimens and material reaching them through trade with Medes and Persians, the borders of whom used to touch those of the Indian Empire: certainly the ancient Egyptians seem never to have been versed at all in the art either of carving out or of engraving these stones; nor do the Greeks seem to have practised this before the times of the Medes, although they were by no means ignorant of the latter even in the century of [text unclear]; indigenous stones certainly provide suitable evidence of this; yet Indian, bicoloured stone were generally needed for the former; and all more ancient examples have been carved or rather hammered out, in the practice still thriving among the Indians and Persians, with tools that are undoubtedly more incomplete than a hammer and scalpel, without a wheel and borer, and have then been finished with great care. What the Phoenicians accomplished in this art form we are not able to comprehend in any way, even through a probable inference; but that they practised it must scarcely be doubted.
*see Asiatic Researches vol: IX. Moores Hindu Pantheon and Catalogue Art: Buddha","Gem / Catalogue of Engraved Gems & Cameos, Greek, Etruscan & Roman in the British Museum",Not on display,"2018 23 Feb – 22 Apr, Nashville, Frist Art Museum, 'Rome; City &Empire' 
2018-2019 20 Sep-04 Feb, Canberra, National Museum of Australia, 'Rome; City &Empire'
2021 13 Feb-15 Aug, Belgium, Tongeren, Gallo-Romeins Museum,  'Rome;  City & Empire'
2021-2022 Aug - Oct, China, Suzhou Museum, 'Rome; City & Empire'",,mammal,,,,,Bequeathed by: Richard Payne Knight,,,,1824,,,Greek and Roman,,"1824,0301.49",,,,,1824030149
11,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/2be1f936_bac3_4d2d_9d8f_a3b70071a973/preview_00033931_001.jpg,capital,"No: 1889,0314.1",,,,"Capital. Pillar capital consisting of a pair of stylised adorsed lions supporting on their joint backs a rectangular abacus, the front face of which is carved with curling tendrils. In the base a deep hole for fixing the capital to a pillar by means of a dowel. Carved in a mottled red sandstone and inscribed on all surfaces save the lion faces and abacus.",,,,,,,Indo-Scythian,1stC,Made in: India (Mathura),Found/Acquired: Mathura,sandstone,,,carved,Height: 34 centimetres; Width: 52.50 centimetres,Inscription type: inscription Inscription position: All over the bodies of the lions and on the bottom of the block on which they stand. Inscription language: Prakrit Inscription script: Kharoshthi Inscription note: Konow 1929 for transcription and translation.,"Said to have been found ""embedded in the steps of an altar devoted to Sitala, on a site belonging to some low-caste Hindus at Mathura (Konow 1929, 30)""
See:
F W Thomas, 'Epigraphia Indica', Calcutta 1908 (reprinted 1981) pp.135-147.","Buhler 1894 / Dr. Bhagvanlal Indraji's Interpretation of the Mathura Lion Pillar Inscription; Konow 1929 / Kharoshţhī Inscriptions, with the exception of those of Aśoka; Koezuka (1994) / Masterpieces of Buddhist and Hindu Art from the British Museum; van Lohuizen-de Leeuw 1949 / The Scythian Period; Cribb 1999a / The early Kushan kings: new evidence for chronology. Evidence  from the Rabatak inscription of Kanishka I",On display (G33/od),,,animal,Named in inscription: Sodasa;  Named in inscription: Buddha (Śākyamuni/Shijiamouni/Shaka);  Named in inscription: Viṣṇu;  Named in inscription: Sarvastivadin,Named in inscription: Guhavihara,,,Bequeathed by: Pandit Bhagvanlal Indraji,,,,1889,"The sculpture, with the notes on its inscription made by the donor, Dr Indraji, were sent first to Bombay and then to England after his death (Buhler 1894, 525, see also, Konow 1929, 30)).",,Asia,,"1889,0314.1",,,,,188903141
32,https://media.britishmuseum.org/media/Repository/Documents/2014_11/12_16/4728e3aa_b4ca_431c_a067_a3e1010fe968/preview_00113170_001.jpg,coping,"No: 1880,0709.23",,,,"Railing coping slab (uṣṇīṣa) carved in limestone; only the inner face remains. -On the inner face:  the Interpretation of Maya's dream, Birth of Buddha and Prince Siddhartha in his harem. 
-Outer face lost.",,,,,,,,3rdC,Made in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved,Height: 82.50 centimetres; Thickness: 17.50 centimetres; Width: 258.75 centimetres,,,"Tripe 1859 / Photographs of the Elliot Marbles and other subjects in the Central Museum, Madras; Fergusson 1873 / Tree and Serpent Worship; Barrett 1954 / Sculptures from Amaravati in the British Museum; Stern & Benisti 1952 / Evolution du Stupa Figure dans les Sculptures D'Amaravati; NHK 1991 / Daiei Hakubutsukan 4: Indo, bukkyo bijutsu no kaika; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa",Not on display,,The piece is broken into three or four segments and has suffered breakage and abrasion in the area of the carving.,birth; harem; interior; tree/bush; dream/vision; buddha,Representation of: Queen Maya;  Representation of: Buddha;  Representation of: Buddha (Śākyamuni/Shijiamouni/Shaka),Used in: Amaravati,Associated Event: Birth of Buddha;  Associated Event: Interpretation of Maya's Dream,,Transferred from: India Museum,,,,1880,"Acquired as the result of the abolition in 1879 of the India Museum (Exhibition Road, London) and the partition of its contents between the British Museum and The South Kensington Museum (Victoria and Albert Museum).",,Asia,,"1880,0709.23",Miscellaneous number: Elliot no 1; Miscellaneous number: IM 1876 no 59,,,,1880070923
