filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
1824030149.jpg	1	0	58.7719	0	64.6553	0	50.6235
185402141.jpg	1	0	58.7719	0	64.6553	0	50.6235
185605291.jpg	3	220	61.5181	3	3.2396	70	35.1978
185605292.jpg	4	223	69.2596	11	17.0286	35	17.1658
186107281.jpg	5	36	68.6971	11	60.4953	18	93.2872
1861072822.jpg	6	16	81.5236	95	46.4223	127	19.797
186704272.jpg	7	12	49.1965	0	13.8454	0	93.3175
188007091.jpg	8	110	64.0885	12	57.375	113	15.1347
18800709107.jpg	9	139	76.6196	126	56.8454	18	16.1568
18800709108.jpg	10	0	56.711	0	45.9047	0	49.9525
18800709109.jpg	11	0	60.7629	0	71.0242	0	26.4128
1880070911.jpg	12	118	68.1568	90	59.7015	14	37.449
18800709112.jpg	13	0	63.3751	0	65.0028	0	22.6962
18800709113.jpg	14	95	67.1661	123	49.1719	12	29.1463
18800709114.jpg	15	137	66.4057	127	46.1808	15	25.1759
18800709115.jpg	16	131	75.2597	118	58.4993	14	27.4227
18800709119.jpg	17	141	68.3889	94	58.5599	27	27.4685
18800709120.jpg	18	113	66.0586	112	62.2939	13	25.3306
18800709121.jpg	19	135	68.0028	109	54.607	13	41.3511
18800709123.jpg	20	81	58.0949	147	55.5154	17	48.6189
1880070918.jpg	21	112	56.2294	44	48.9309	11	109.8169
1880070919.jpg	22	104	69.6852	37	37.2087	59	54.5112
188007092.jpg	23	147	81.0164	60	46.3331	22	52.1673
1880070920.jpg	24	140	73.2763	54	28.8636	229	118.297
1880070921.jpg	25	153	62.5622	80	48.0489	10	36.1925
1880070922.jpg	26	159	65.8629	7	10.7796	170	99.2119
1880070923.jpg	27	0	80.4833	0	59.1166	0	20.4088
1880070924.jpg	28	136	57.0358	135	43.3636	22	23.4956
1880070929.jpg	29	160	69.1416	100	42.6348	19	16.1322
1880070931.jpg	30	133	61.1278	125	45.2382	18	15.4282
188007094.jpg	31	133	69.1048	72	28.4624	11	58.0917
1880070940.jpg	32	139	57.0025	72	25.9706	9	34.9751
1880070941.jpg	33	76	85.5726	154	71.3929	15	18.7148
1880070942.jpg	34	94	87.5016	124	62.4936	13	28.851
1880070943.jpg	35	109	63.5508	20	56.7315	31	73.8231
1880070944.jpg	36	120	67.3036	90	62.981	27	33.5363
1880070945.jpg	37	134	68.519	127	50.6875	18	27.0809
1880070946.jpg	38	160	80.3285	17	13.5916	7	89.9706
1880070948.jpg	39	138	58.9991	26	47.5744	29	4.242
1880070949.jpg	40	70	76.7895	66	75.9303	24	27.8427
188007095.jpg	41	125	75.9577	42	57.0306	14	58.1701
1880070950.jpg	42	157	71.8336	95	51.4304	14	40.8746
1880070951.jpg	43	157	58.5882	110	42.0596	18	17.468
1880070953.jpg	44	152	57.2534	55	17.5418	16	77.3185
1880070957.jpg	45	168	57.8887	143	85.0064	23	27.8537
1880070958.jpg	46	122	83.0278	127	60.2097	16	30.892
188007096.jpg	47	94	77.9036	16	39.5656	42	54.2218
1880070960.jpg	48	126	74.6903	93	45.9407	14	15.039
1880070967.jpg	49	141	98.8825	0	26.7985	0	63.3733
1880070969.jpg	50	126	64.3454	149	43.3459	19	23.3103
188007097.jpg	51	0	52.3118	0	55.6237	0	24.4875
1880070970.jpg	52	105	67.9659	137	49.3608	21	53.411
1880070971.jpg	53	117	70.8998	126	54.2916	19	39.4294
1880070972.jpg	54	118	61.2101	110	49.2945	16	19.0082
1880070973.jpg	55	98	80.7122	134	61.4302	16	30.3769
1880070974.jpg	56	120	73.9928	138	67.8231	17	33.3564
1880070975.jpg	57	123	71.619	121	58.1574	15	25.1554
1880070977.jpg	58	125	52.3473	80	28.2364	13	39.4141
1880070979.jpg	59	99	50.6637	90	40.2395	25	32.4703
188007098.jpg	60	99	69.5344	71	55.944	15	67.1713
1880070980.jpg	61	141	69.4907	128	46.5027	18	20.4461
1880070981.jpg	62	15	80.6601	55	65.001	26	31.6803
1880070982.jpg	63	129	74.438	58	25.6229	12	56.7865
1880070983.jpg	64	142	65.5944	109	48.9834	15	13.565
1880070984.jpg	65	193	66.4269	6	46.0677	35	60.486
1880070985.jpg	66	153	64.669	15	35.74	26	10.6469
1880070986.jpg	67	185	66.7499	6	45.3186	35	63.5661
1880070987.jpg	68	91	48.0343	137	44.8004	16	31.658
1880070988.jpg	69	162	73.4977	115	46.1517	18	13.8289
1880070990.jpg	70	152	69.3023	117	36.7601	20	17.8
1880070991.jpg	71	158	71.7382	98	48.2054	19	20.7119
1880070993.jpg	72	113	73.2294	107	57.0556	12	29.8848
1880070994.jpg	73	145	59.9455	120	43.2622	14	22.6748
1880070995.jpg	74	122	62.2428	124	49.7193	13	32.8966
1880070996.jpg	75	131	67.4639	113	52.0693	14	31.8352
1880070997.jpg	76	156	72.3735	96	53.3439	12	37.9233
1880103.jpg	77	153	78.1536	8	21.0737	35	55.9498
188011.jpg	78	104	71.6862	83	74.9611	26	67.5483
188015.jpg	79	182	72.9229	6	50.5363	42	83.9129
1880199.jpg	80	237	74.3438	6	9.4311	35	9.4052
1880208.jpg	81	215	66.6874	8	29.1789	34	7.9951
1880215.jpg	82	219	73.4363	5	34.0028	34	6.2741
1880239.jpg	82	219	73.4363	5	34.0028	34	6.2741
1880270.jpg	84	101	62.3878	55	26.9054	148	58.656
1880329.jpg	85	213	61.3526	7	28.8479	35	8.5392
188035.jpg	86	233	68.2086	8	36.8125	35	30.1144
18803525.jpg	87	185	58.1335	6	36.1033	28	21.0063
1880360.jpg	88	230	74.0467	6	28.2595	34	2.9167
18803626.jpg	89	255	98.3721	0	29.409	0	56.7877
18803628.jpg	90	29	61.2155	42	13.5929	221	53.0294
18803702y.jpg	91	255	68.3429	0	44.522	0	61.7387
18803711n.jpg	92	255	69.1382	0	15.8391	0	47.7304
18803787.jpg	93	241	70.9122	0	2.583	0	93.8675
188067.jpg	94	102	64.3421	56	34.3757	8	108.4307
188068.jpg	95	177	70.3233	6	10.9357	34	5.8982
18806ab.jpg	96	2	85.6049	34	68.0024	11	32.8857
18807.jpg	97	255	83.7531	0	54.3939	0	26.4831
188074.jpg	98	208	68.5687	83	32.3359	142	81.9901
1880772.jpg	99	214	22.1646	64	46.9328	24	1.149
188093.jpg	100	110	46.9397	55	38.5613	71	45.324
18870307I795.jpg	101	156	57.7763	20	43.6496	29	51.4169
18870717144.jpg	102	224	80.4079	2	54.1441	28	70.8063
1887071749.jpg	103	192	74.1784	7	18.9066	34	2.8918
1887071772.jpg	104	160	54.0201	73	42.9641	244	85.575
1887071773.jpg	105	130	84.0086	9	17.1647	135	60.5424
188808063.jpg	106	227	79.1716	8	24.1743	34	4.2612
188903141.jpg	107	255	69.5015	0	58.2879	0	28.3262
188910161.jpg	108	129	65.8803	17	25.8643	59	54.7634
189008054.jpg	109	218	55.6498	27	53.1929	139	65.8728
189011161.jpg	110	130	55.8103	32	25.6474	191	77.5272
1892080110.jpg	111	31	50.2293	25	27.6902	154	60.0328
1892080111.jpg	112	218	63.1146	11	17.0227	26	4.4934
1892110313.jpg	113	14	60.1579	36	70.8184	24	81.6158
18921103134.jpg	114	78	85.3239	24	48.4516	142	87.0403
1892110388.jpg	115	55	34.7614	44	32.9968	154	69.4281
189906099.jpg	116	218	63.0373	11	19.6614	29	5.1423
1899071511.jpg	117	143	65.7179	46	52.9397	172	60.967
189907159.jpg	118	152	65.4678	37	32.87	142	55.746
190005222.jpg	119	155	52.6389	8	35.0311	135	23.8078
1902100217.jpg	120	215	63.9945	4	8.9645	177	91.6795
1902100247.jpg	121	222	83.5341	5	35.6897	60	32.0529
190212201.jpg	122	202	64.0614	2	22.5071	33	72.2056
19021220192.jpg	123	177	72.0297	7	19.9876	59	33.528
190212202.jpg	124	131	56.9296	8	43.9307	28	62.8086
19021220542.jpg	125	143	59.1899	17	37.7943	31	35.3156
190306225.jpg	126	247	80.8618	5	34.1803	135	48.4288
190512181.jpg	127	54	50.679	32	38.8189	31	61.6765
190512182.jpg	128	31	61.5592	15	34.4321	30	112.03
190512183.jpg	129	218	88.6747	7	27.8186	26	46.9563
19071111174.jpg	130	166	49.9815	4	48.1527	21	59.1842
19071111175.jpg	131	157	47.0071	5	35.4492	24	91.9931
19071111178.jpg	132	180	64.3485	3	50.5602	20	46.3136
19071111180.jpg	133	195	58.6307	2	27.1961	29	49.9893
19071111182.jpg	134	154	59.1214	6	50.7275	21	44.175
19071111183.jpg	135	168	59.2979	6	43.69	24	37.9715
19071111185.jpg	136	177	60.6359	5	49.1482	22	43.3627
19071111186.jpg	137	172	59.6338	2	52.6446	21	31.5848
19071111188.jpg	138	185	62.9925	2	37.7195	23	50.0573
19071111191.jpg	139	185	63.5328	2	45.4099	27	55.5279
19071111193.jpg	140	192	60.1137	2	43.7852	23	42.3065
19071111195.jpg	141	162	64.4014	3	23.3732	30	80.2198
19071111199.jpg	142	173	64.6204	6	45.6268	22	47.8962
1907111146.jpg	143	211	55.9048	2	32.8583	20	69.003
1907111155.jpg	144	175	58.1401	4	21.3495	28	55.4255
1907111162.jpg	145	204	65.0861	24	25.2416	21	15.4388
1907111167.jpg	146	149	52.5598	7	37.5702	26	49.155
1907111168.jpg	147	155	57.6872	45	25.942	22	70.3688
1907111172.jpg	148	153	52.6644	8	32.7787	29	40.7163
1907111173.jpg	149	164	59.1508	7	27.931	28	56.2119
1909051232.jpg	150	101	53.8733	105	31.2933	23	7.9235
191006161.jpg	151	167	52.5824	8	22.0515	77	19.3653
191212211.jpg	152	123	66.5065	42	33.2577	23	61.3822
1913110814.jpg	153	209	67.1118	9	11.2732	145	36.2456
1913110817.jpg	154	156	86.0332	16	23.5673	36	28.4729
191311083.jpg	155	154	81.6083	7	24.9652	99	38.6596
191705011.jpg	156	170	61.2384	37	42.7099	176	80.3253
1917100912.jpg	157	187	69.8698	21	25.1536	222	14.451
191901010511113.jpg	158	170	53.5321	27	30.1464	24	4.7396
191901010515.jpg	159	130	54.7287	96	35.1436	25	4.1858
191901010516.jpg	160	173	57.7462	31	33.3634	24	3.634
19190101051710.jpg	161	170	53.5321	27	30.1464	24	4.7396
19190101058.jpg	162	152	24.8065	98	25.3315	27	31.2701
1925061918.jpg	163	169	53.5149	3	34.6539	26	55.0507
192506196.jpg	164	159	49.6076	85	34.7728	31	5.7688
19281022137.jpg	165	209	56.5106	7	28.7096	155	69.4206
1930102113.jpg	166	160	62.3812	7	30.222	42	41.0939
1930102117.jpg	167	144	54.204	12	34.5769	34	15.9366
1930102122.jpg	168	154	54.1696	9	33.8683	34	16.4034
1930102124.jpg	169	188	63.9053	4	36.0844	31	27.3477
1930102125.jpg	170	161	54.3571	9	41.9906	28	16.9262
1930102156.jpg	171	182	60.938	4	41.3743	28	44.4411
1930102157.jpg	172	183	56.8231	3	23.1657	42	54.1394
1930102158.jpg	173	190	65.4611	2	31.4285	40	43.7116
193010217.jpg	174	173	58.4647	2	32.922	30	20.7021
19370716153.jpg	175	253	89.4966	2	39.9603	20	23.277
193710131.jpg	175	253	89.4966	2	39.9603	20	23.277
193804121.jpg	177	25	71.8169	60	37.0212	188	99.4472
193807151.jpg	178	0	84.431	0	60.3101	0	29.7363
193905251.jpg	179	77	80.7112	31	26.4878	170	110.9871
19451017203.jpg	180	173	73.6958	36	47.3859	24	30.6949
196007221.jpg	181	152	38.6948	60	38.1661	26	69.7455
196602172.jpg	182	52	51.7857	0	29.8135	0	71.5961
19670221105.jpg	182	52	51.7857	0	29.8135	0	71.5961
196901152.jpg	184	181	43.8162	32	10.3612	144	63.6716
196907251.jpg	185	255	97.228	0	36.6733	0	59.5811
197007181.jpg	186	218	78.6703	2	23.5294	8	40.502
197803061.jpg	187	255	55.0726	0	25.1525	0	24.2887
198201271.jpg	188	159	39.7337	35	19.8353	20	60.5414
198203311.jpg	189	255	83.0132	0	24.5515	0	73.4999
198406131.jpg	190	72	67.9337	12	13.0251	51	10.4328
198505102.jpg	191	157	30.5543	49	33.8792	27	40.5441
198506171.jpg	192	225	53.1767	26	17.4155	22	10.3447
199909271.jpg	193	23	61.8735	61	36.2511	198	83.3365
2000120996.jpg	194	68	47.1864	88	25.4587	172	69.6048
200303192.jpg	195	60	73.5714	30	52.0539	29	12.5349
200403311.jpg	196	237	24.2307	5	54.3263	8	33.39
200404011.jpg	197	59	52.4964	216	42.29	18	7.1298
201130473.jpg	198	161	55.1855	7	26.2007	31	42.6994
201130476.jpg	199	189	57.0178	3	30.2445	27	46.6731
As186412017.jpg	200	209	45.1609	89	27.0599	35	51.1849
MAS1011.jpg	201	242	40.5996	5	23.6575	198	84.7261
MAS1012.jpg	202	239	45.3456	5	24.7044	205	93.2413
MAS1079.jpg	203	178	67.7098	5	32.8766	27	78.3221
MAS1082.jpg	204	255	55.4152	0	21.8503	0	49.3185
MAS1090.jpg	205	199	54.6713	6	47.2787	93	37.2895
MAS1111.jpg	206	243	67.6046	9	27.2861	21	20.4533
MAS154.jpg	207	173	70.4403	2	21.6643	42	26.1973
MAS182.jpg	208	176	59.1634	6	30.6097	34	78.0715
MAS188.jpg	209	214	76.3938	0	16.581	0	54.5206
MAS199.jpg	210	202	72.9473	2	28.0391	24	83.4265
MAS225.jpg	211	200	61.9114	2	16.962	42	47.5269
MAS247.jpg	212	168	55.5641	21	50.1154	16	24.4006
MAS248.jpg	213	154	53.4887	14	45.5738	18	23.856
MAS249.jpg	214	167	67.062	19	53.1714	14	20.7429
MAS250.jpg	215	179	67.8374	2	39.3333	22	31.5288
MAS258.jpg	216	167	59.5708	7	40.4523	34	34.9919
MAS259.jpg	217	174	61.1523	6	44.1215	42	39.0951
MAS260.jpg	218	176	57.9682	0	30.036	0	44.1017
MAS264.jpg	219	178	57.5084	6	36.9986	28	35.7998
MAS286.jpg	220	184	58.9078	2	35.5549	23	67.1563
MAS309.jpg	221	191	61.3883	14	42.4883	15	89.1829
MAS323.jpg	222	157	58.9486	19	39.1185	7	92.9411
MAS324.jpg	223	147	62.7451	21	48.1962	15	76.388
MAS325.jpg	224	177	64.0987	2	39.1066	34	45.155
MAS326.jpg	225	165	51.8037	3	41.8336	28	68.9462
MAS328.jpg	226	160	50.5759	8	36.5632	29	22.3515
MAS330.jpg	227	173	62.7408	2	45.329	20	67.7581
MAS340.jpg	228	241	46.9895	15	23.5335	20	17.9247
MAS341.jpg	229	179	55.7573	6	25.2805	34	59.8549
MAS344.jpg	230	249	51.7423	5	25.6307	29	108.1255
MAS351.jpg	231	163	57.842	7	23.5064	30	43.4096
MAS353a.jpg	232	150	62.8047	3	33.8752	26	72.8981
MAS353b.jpg	233	173	55.1407	2	30.474	30	41.345
MAS354.jpg	234	192	64.8986	0	25.2087	0	54.649
MAS355.jpg	235	159	55.9279	3	25.2346	42	60.9436
MAS356.jpg	236	198	62.3457	2	32.329	26	43.4034
MAS357.jpg	237	161	58.6954	2	55.6673	21	42.9276
MAS361.jpg	238	202	67.7376	0	29.5842	0	63.4711
MAS382.jpg	239	195	63.8906	2	25.7875	28	42.9316
MAS383.jpg	240	199	63.8259	2	23.9709	30	35.3938
