,Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects,id
0,https://media.britishmuseum.org/media/Repository/Documents/2014_10/14_12/613705db_4c40_4070_9d9f_a3c400c79a1d/preview_00852970_001.jpg,album; photographic print,"No: 1994,0520,0.33","""Budh"" in cloister of Vihara (Object)",,,Photograph from an album of forty-five. Taken at Sanchi and neighbouring places in central India in the 1880s. A detailed view of a Buddha sculpture near a ruined temple at Sanchi.,,,,,,,,1880s,Photographed in: Sanchi,,paper,,,albumen printing,Height: 26.60 centimetres full page ; Height: 20.80 centimetres photo ; Width: 35 centimetres full page ; Width: 16.20 centimetres photo ,"Inscription type: inscription Inscription position: lower border Inscription language: English Inscription quoted: ""Budh"" in cloister of Vihara","Cameron, AM: 
The photographs of Sanchi that are included in this album were taken during the monument's restoration project of 1883-84 (overseen by Henry Cole of the ASI) or shortly after the project's completion. Since one of the sculptures in photograph 1994,0520,0.28 was already in the Victoria and Albert Museum by 1886, there exists a very specific window of time with which to date this album.",,Not on display,,,monument; temple,Representation of: Buddha,Topographic representation of: Sanchi,,,Purchased from: Pablo Butcher,,,,1994,Bought on the Portobello Road from Pablo Butcher.,,Asia,,"1994,0520,0.33",,,,,19940520033
1,,amulet; yantra,"No: 2013,3024.8",,,,"Yellow printed cloth amulet. Cloth amulet printed with an image of the Phra Chinarat Buddha statue flanked by two female bodhisattvas (enlightened beings) wearing Chinese dress and with halos around their heads. The Buddha image is seated and framed within a decorated frame. Below him is Thai text including the name of the image and a recitation for honoring it. At the top, sides and bottom are the name of the image and monastery and wishes for well-being in Chinese. In the lower section are magic diagrams. The whole is bordered by a flower motif.",,,,,,,,2000-2005,Made in: Thailand (central),,textile,,,printed,Length: 39.50 centimetres; Width: 30 centimetres,"Inscription type: inscription Inscription position: cartouche below the Buddha Inscription language: Thai Inscription script: Thai Inscription transliteration: Phra Phutta Chinarat Phitsanulok Inscription translation: Phra Chinarat (Jinaraja) Buddha image, Phitsanulok Inscription note: Phitsanulok is the city in which the Phra Chinarat image is located.; Inscription type: inscription Inscription position: below the cartouche Inscription language: Pali Inscription script: Thai Inscription note: This is the gatha or stanza which a devotee would recite to venerate Phra Chinarat.; Inscription type: inscription Inscription position: top, sides, and bottom of cloth Inscription language: Chinese Inscription script: Chinese Inscription note: The name of the monastery and the Buddha image and wishes for security and good fortune. 
This cloth was designed to appeal to Chinese devotees, reflecting the international visitorship of the monastery.","According to a traditional story, the bronze Phra Chinarat image was cast at the initiative of King Thammatraipidok (thought by some historians to be King Mahathammaracha of Sukhothai, r. 1346/7-1368/74), the founder of Phitsanulok. The king had craftsmen from the cities of Si Sachanalai, Sawakhalok, Chiang Saen, and Hariphunchai together create three bronze Buddha images. Two statues were successfully cast; these were Phra Chinasi and Phra Sisatda. The third, Phra Chinarat, was not. The craftsmen tried three times but failed; the king then made a solemn resolution requesting the help of the gods. The god Indra therefore descended from heaven in the guise of a white-robed ascetic and helped the craftsmen successfully complete the casting.  
The Phra Chinarat Buddha statue at Phitsanulok is one of the most popular Buddha images in Thailand and has long been considered to be an especially beautiful statue of the Buddha. King Rama V (r. 1868-1910) wrote that “there is no finding a Buddha image as beautiful as Phra Phuttha Chinarat.” The statue’s likeness adorns many votive objects, including popular prints (see for example object no. 1991,1022,0.27). This cloth yantra or magical diagram aims to invoke the protection and beneficence of the famous statue.
Thipsuda Naisap, ‘Phra Phuttha Chinarat’, in Sarunukrom Wattanatham Thai Phak Klang [Encyclopaedia of Culture of the Central Thai Region] (Krung Thep: Mulaniti Saranukrom Wattanatham Thai, 2542 [1999]), pp. 4090-4.  
Also, see: Hiram W. Woodward, Jr., The Sacred Sculpture of Thailand (Bangkok: River Books, 1997), pp. 146-8.",,Not on display,,,buddha; bodhisattva; magic,Representation of: Maitreya;  Representation of: Avalokiteśvara/Guanyin/Kannon,Associated with: Wat Phra Sri Rattana Mahathat,,,Donated by: Peter Skilling,,,,2013,"According to the donor, this yantra was acquired with four others (nos. 5, 6, 10 and 13) at Wat Phra Si Rattana Mahathat in Phitsanulok.",,Asia,,"2013,3024.8",,,,,201330248
2,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/963e5438_ea7a_40a7_b0f8_a3b70071886f/preview_00033919_001.jpg,amulet-box,No: 1880.29,,,,"Octagonal amulet box; made of gold and inset with stones.
The box has flat ends and pierced spherical knobs at each end, originally for suspension. The box has a detachable end inserted by means of a cylindrical sheet. Each end, also octagonal, has a beaded border and the eight faces and both ends are pierced to hold stones or, now, where not empty, show organic matter which may have held the stones. Along the octagonal body oval openings, all with garnets, alternate with openings pointed at one end and with two rounded projections or lobes at the other. These, but for one with a green stone of the same shape, reveal organic matter. Except for the face with the globular suspension lugs at each end, which has three, the remaining faces each have eight openings for stones. On both ends the openings are, in the centre, circular with a garnet and surrounded concentrically with heart-shaped openings, some empty and some with organic matter. This organic matter is a resin or a gum resin, perhaps used to pad the outer and inner gold sheets of which the box is made as well as to hold the stones. The green stone has been identified as a serpentine called Bowenite.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Ahin Posh,gold; garnet; serpentine,,,inlaid; hammered,Height: 4.60 centimetres with lugs ; Width: 8 centimetres; Depth: 3 centimetres,,"Green stone noted missing 23 October 1995 MDW; Zwalf 1996:
Inside the object, otherwise empty, was preserved a small piece of paper now in the archive of the Department of Oriental Antiquities and inscribed in ink as follows: ""Within this Relic Holder - found at the Ahin Posh Tope near Jellalabad were 2 gold Coins - and a small dark Substance - to me indistinguishable as to its character. But being found in the Relic Holder I am inclined to think that it was the real object for which the Case was made - I cannot suppose that the Coins were the object of presentation. - The Relic may have been worn by the person whose Ashes were in the Cell - that is perhaps the most probable theory - but if we suppose that at the Consecration of the Tope which Ceremony no doubt took place when the Relics were deposited - (see Mahawamso for consecration of Singhalese Tope or Dagoba) - and the coins were thrown in as Votive offerings - It is a possible theory that this Relic-holder may have been deposited on the Ashes with this motive, - I think that the first theory is the most likely.
Wm. Simpson. Jellalabad 17 Feb. 1879.
A bit broke off the Relic yesterday - both fragments are in the piece of paper"".
The finds accompanying the amulet box consisted of what Simpson supposed were ashes, lying free, and twenty gold coins of Vima Kadphises, Kaniska, Huviska, the Roman emperors Domitian (AD 93-8) and Trajan (AD 98-117) and Hadrian's empress Julia Sabina (d. 137); the two contained in the box were of Vima and Kaniska. One of the coins was that now in the Museum with a standing Buddha and captioned BOAAO.","Seipel W 1996a / Weihrauch und Seide: Alte Kulturen an der Seidenstrasse. Catalogue of the exhibition held at the Kunsthistorisches Museum, Wien, 21 January - 14 April 1996 (cat. entry by M. Willis); Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum; Simpson 2012a / Afghanistan. A Cultural History; Errington 2017a / Charles Masson and the Buddhist Sites of Afghanistan: Explorations, Excavations, Collections 1832-1835",On display (G33/dc51a/s1),"Exhibited:
1996 21 Jan-14 Apr, Wien, Kunsthistorisches Museum, 'Weihrauch und Seide: Alte Kulturen an der Seidenstrasse'
2012 Nov 30 - 2013 Apr 4, Bonn, Kunst- und Ausstellungshalle, ‘Treasures of The World's Cultures’","1.Gold sheet, set with garnets.
2.Box consists of gold sheets hammered and pierced to show stones' outer wall octagonal, inner wall cylindrical; seal at open end, rebated to accommodate suspension lug attached to removable end, is a thin gold sheet. 
3.At fixed end, a pierced gold sheet over another with a beaded edge and containing stones; cover has another double layer of gold with a beaded edge containing stones and fits into holder by means of inserted cylindrical gold sheet. 
4.Globular suspension lugs, which are soldered on, appear to be beaten around a pierced wooden core. 
5.Outer surfaces show scratch marks as if from cleaning. 
6.Many openings now contain decayed matter.",,,,,,,,,,,,,Asia,,1880.29,,,,,188029
3,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_17/6579d955_521a_4af6_b522_a3b801195694/preview_00199605_001.jpg,architecture,No: Franks.2544,,,,"Earthenware architectural element with green, yellow, brown and cream glazes. Part (lower section) of a pair (see also BM Franks. 921). This architectural elements is moulded and carved. It shows a double band of lotus petals with 'ruyi' cloud feet suggested in yellow. The lead glaze has dripped over the edges.",,,,,,,Ming dynasty,1412-1431 (circa),Made in: Porcelain Tower;  Made in: Anhui (province) (Dangtu),Found/Acquired: Porcelain Tower,earthenware,,,lead-glazed; moulded; carved,Diameter: 7 centimetres; Height: 18.50 centimetres; Width: 17 centimetres max ,,"Harrison-Hall 2001:
This type of lotus-petal base with beading is found in Sino-Tibetan Buddhist sculpture of the Yongle era. For example, a Yongle mark and period gilt-bronze image of the historical Buddha Sakyamuni, shown in meditative posture, seated on a similar double lotus-petal throne, is in the British Museum (BM 1980.0410.4). The Yongle emperor maintained good diplomatic relations with the Tibetans and invited Tibetan religious leaders including Halima to court to perform religious services for his deceased parents, for example, in 1407.
These architectural elements were probably made for the base section of an ornamental gate at the 'Da Bao'en si', Nanjing, and may be compared to a reconstruction of the main gate illustrated in a recent exhibition catalogue. Construction of the 'Da Bao'en si' temple complex began in the Yongle reign in 1412 and was completed in the Xuande era in 1431. Franks suggests that the spheres and flame represent the 'san zhi' or 'three moral excellences' of Buddha.",Harrison-Hall 2001 / Catalogue of Late Yuan and Ming Ceramics in the British Museum,Not on display,,,lotus,,,,,Donated by: Sir Augustus Wollaston Franks,,,,,,,Asia,,Franks.2544,,,,,Franks2544
4,,architecture,"No: 1950,1211.2",,,,"Fragment from a larger composition with a small chapel containing a Bodhisattva preaching. The preaching and haloed Bodhisattva wears the usual ornaments, except for the necklace over the right shoulder, and a crested turban with a central columnar ornament on a small mount. His head is oval, his face full with narrow, slanting, heavy-lidded eyes. He sits in the opening under a sawtooth arch of a double-domed chapel supported by an engaged pilaster and an undercut column, fully carved on three sides and with a Corinthian capital. Above and below the column is a railing motif which is repeated round the lower dome below its vine-leaf enrichment, and at the side of the lower dome is a large, bordered, semi-circular panel containing a half-rosette. Above the plain neck with a small central aperture the upper dome rests on brackets of cyma reversa profile; the lotus enrichment with banners is as on BM 1963.0522.2 except for the additional damaged parrots. The whole rests on what appears to have been a sawtooth cornice over a lion-headed corbel and the left side seems to have been at the edge of the presumed original larger panel.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Takht-i-Bahi,schist,,,carved,Diameter: 6 centimetres; Height: 18.50 centimetres; Width: 9.30 centimetres,,"Zwalf 1996:
For examples of the turbaned teaching Bodhisattva in a similar ancillary structure on preaching Buddha panels see Lahore 1135 and Peshawar 1554.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, with soil incrustation.
2.Carved round sides except for diagonal surface which is keyed to aid attachment. 
3.Chisel marks on surviving bottom. 
4.Dense, thin, diagonal chisel grooves at back. 
5.Traces of red colour in the incrustation (compare BM 1965.0801.4).",bodhisattva,,,,,Donated by: Aubrey Turnbull,,,,1950,Collected by Dr H. W. Bellew.,,Asia,,"1950,1211.2",,,,,195012112
5,,banknote; specimen,"No: 2014,4047.1",,500 baht,,"Banknote.; King Bhumibol Adulyadej, wearing Chakri gown, facing front to right; inscription to left: purple, pink, blue and brown print on white background.; Three quarter view of monument and statue of King Buddha Yodfa Chulolok the Great (Rama I); to left, view of Wat Phra Chetuphon Vimolmangklararm Rajwaramahaviharn (Wat Pho); to right, Phra Sumen fort.",,,,Bank of Thailand,,,,2014,Issued in: Thailand,,paper,,,,Length: 155 millimetres; Width: 72 millimetres,,,,Not on display,,,king/queen; architecture; sculpture,Portrait of: Rama IX Bhumibol Adulyadej;  Portrait of: Buddha Yodfa Chulalok the Great (Rama I),Topographic representation of: Wat Phra Chetuphon,,,Presented with legal title withheld: Bank of Thailand,,,,,,,Coins and Medals,,"2014,4047.1",,,0 A 0000000,,201440471
6,,banknote; specimen,"No: 2013,4151.5",,20 baht,,"Banknote.; King Bhumibol right, draped, facing front: design printed in green.; Seated statue of Buddha at centre; three figures standing to left chiselling a stone inscribed obelisk: design printed in green.",,,,Bank of Thailand,,,,2013,Issued in: Thailand,,paper,,,,Length: 138 millimetres; Width: 72 millimetres,,,,Not on display,,,king/queen; sculpture; deity,Portrait of: King Bhumibol Adulyadej (Rama IX),,,,Presented with legal title withheld: Bank of Thailand,,,,2013,,,Coins and Medals,,"2013,4151.5",,,0 A 0000000,,201341515
7,https://media.britishmuseum.org/media/Repository/Documents/2017_1/17_17/d25d73b3_977e_4291_9e0d_a6fe011b5805/preview_MAS_888.jpg,banner; textile; painting; 幡; 紡織品; 繪畫,No: MAS.888,,,,"This is a square damask piece, originally a head for a banner which has been folded in half and painted with two Buddhas, each seated on a lotus. The textile is white twill damask showing half of a lion over 40 cm long, with only the head and tail still visible. This design was previously misinterpreted by Stein as a floral pattern, and Roderick Whitfield as phoenixes. The lion may be in a crouching or walking position, as seen in a paper painting found in Cave 17. There is a small pattern to the left of the lion, probably a stone, and another opposite the head, and symmetrically repeated along the warp direction. However, there is no woven pattern where the lion’s body should be, indicating that this is probably the beginning of the fabric. There is a similar banner head in the V&A loan collection: a similar image of the Buddha is painted on a different woven damask image of the lion (LOAN:STEIN.490). On the basis of the style of the painting, Roderick Whitfield dated this piece to the Five Dynasties.
Weave structures: 
Warp: silk, untwisted, single, 51 ends/cm; Weft: silk, untwisted, single, 28 lats/cm. Weave structure: 1/5S twill pattern on 2/1S twill ground.

這件正方形的織物原是一件幡首，對折後的兩個三角形區域內各繪一坐於蓮座上的佛像。
繪畫的底料是白色同向綾，綾上所織的圖案斯坦因認爲是花卉，韋陀在《西域美術》中認爲是鳳凰，但實際上應該是半個獅紋，僅見獅頭和獅尾，獅身橫向長達40cm以上，可能作蹲狀或行走狀，其造型可能與敦煌藏經洞發現的另一件紙本獅紋繪畫相似。獅尾後還另有一紋樣已殘，可能爲山石之類。獅頭以上沿經線方向還有一對稱的獅紋，僅見頭部。獅身處僅是素織，或許爲機頭。類似的幡首在與V&A博物館中也有收藏（LOAN:STEIN.490），也是手繪蓮花座佛，但其白綾的圖案卻所有不同。根據繪畫的風格，韋陀在《西域美術》中將這件織物的年代定在五代。
組織結構：
經線：絲，無撚，單根排列，51根/cm；緯線：絲，無撚，單根排列，28根/cm；組織：2/1S斜紋地上1/5S斜紋顯花。",,,,,,,Five Dynasties; 五代,10thC,,Excavated/Findspot: Cave 17;  Excavated/Findspot: 第17窟 (Chinese),silk; 絲綢,,,twill damask; painted; 綾 (Chinese); 彩繪 (Chinese),Height: 58.50 centimetres Mounted on padded board ; Height: 54 centimetres; Thickness: 2 centimetres Mounted on padded board ; Width: 58.50 centimetres Mounted on padded board ; Width: 54 centimetres,,,"Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China; Whitfield 1985 / Textiles, Sculpture and Other Arts; Whitfield & Farrer 1990 / Caves of the Thousand Buddhas. Chinese Art from the Silk Route; Zhao 2007 / Textiles from Dunhuang in UK Collections",Not on display,"Exhibited:
2010, Feb-June, Essen, Ruhrland Museum, The Great Game
2017 Nov 8-tbc, BM G33 Hotung Gallery, 1st rotation",,buddha; lotus; 佛 (Chinese); 蓮花 (Chinese),Representation of: Buddha;  Representation of: 佛陀,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.888,Miscellaneous number: Ch.xxi.003 (Stein no.),,,,MAS888
8,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_14/8497c822_b702_4954_8de6_a3b600ef8afd/preview_00014552_001.jpg,banner; painting; 幡; 繪畫,"No: 1919,0101,0.103",,,,"Painted banner of a bodhisattva, depicted with a green body, holding a blue vajra in his right hands, a lotus stem in his left, and standing on a lotus. One of series of ten (see 1919,0101,0.101 and 102, which share many of the same features, including three-pronged tiara, striped dhoti, colourful flowered scarves). Ink and colour on silk. Tibetan inscription.",,,,,,,Tang dynasty; 唐代,801-850 (circa),,Excavated/Findspot: Cave 17;  Excavated/Findspot: 第17窟 (Chinese),silk; 絲綢,,,painted,Height: 55 centimetres; Width: 14.50 centimetres,Inscription type: inscription Inscription position: right side Inscription language: Tibetan Inscription translation: Not yet translated.,"English
From Whitfield 1982:
This banner is the most impressive of the three (Pls. 46-48). The Bodhisattva, holding a small vajra in his right hand, faces the spectator squarely. The left hand, palm outwards, seems to caress one of the curving lotus stems at his side. Above him, instead of the hanging textile drape of the other banners, is a splendid floral border. His striped dhoti is smoothly wrapped around each leg, and a white-flowered scarf is tied in a generous knot on the right hip. The colour of his body is a greenish bronze. His eyes, quite horizontal, are almond-shaped, bright white with black pupils. This feature above all gives the figure its Indianizing appearance, and one might make the comparison with bronze figures with the eyes inlaid in silver (see, for instance, the eighth-century bronze Buddha from Phyang monastery, Ladakh, reproduced in Singh, 1968,p.53). Bright white is also used for the yajñopavīta, or sacrificial thread worn by the Bodhisattva-in sculpture these too on occasion may have been inlaid in silver. Such features support the theory that this group of paintings may be related to the art of Khotan. 
All three of these banners and presumably those in New Delhi from the same group differ in construction from the rest of the Dunhuang banners. They are on a grey silk with a balanced close weave, while the majority of the paintings are on a more open silk, with warp threads running in pairs. They are also much narrower than the usual width of the other banners, and both edges are hemmed with a strip of silk binding, instead of being merely painted with a dark brown pigment as is commonly seen. Finally, all three of these banners show a selvedge on the lower end. These facts seem to imply a different origin for the silk itself, and a different tradition of making the banners, the figures being at a right angle to the warp instead of in line with it. It does therefore seem possible, from technical as well as stylistic evidence, that these paintings were executed elsewhere and brought to Dunhuang, rather than being executed there under the influence of models from further west. It is very noticeable that none of the banners (including the group in New Delhi) has a cartouche for characters, even those that are in fact inscribed in Tibetan.; Chinese
From Whitfield 1982:
此幡是同一系列的三件（圖46～48）中給人印象最深的作品。右手上放著小形的金剛杵，面向正前方。左手掌向前，手指執旁邊的蓮華莖。上方不像其他幡的幕，而是描繪著精美花紋的邊飾。從腰到腳的部分順滑的纏繞著細軟的布，身著布滿小花紋的天衣，鬆軟的繋在腰的右方。身軀被塗成青銅色，眼睛扁長呈杏仁形，純白眼底點著黑瞳。這種眼睛的表現方式更是印度式，可以與眼部嵌銀的金銅像（如，參照M.Singh;Himalayan Art.London,1968.p.53收錄的Phyang寺的8世紀金銅像）做比較。而且不僅是眼部，有的菩薩裝飾帶也是白色的，在雕刻作品中用嵌銀來表現那些部分也有很多例子。這種特徵成爲這一連貫的繪畫與和闐美術有關聯的有力證據。
在新德里國立博物館的同一系列的幡恐怕也是那樣的，這三件幡的製作不同于敦煌其他幡。這三件採用經緯均勻質地細密的鼠灰色絹，而其他大部分的幡則採用只有兩根經線質地粗糙的絹。絹幅遠比其他幡狹窄。幡兩端的邊兒通常只是用黑褐色顔料繪出，而這三件則用細絹布縫的。而且此三件幡的任何一件，布的織邊在畫的下端。以上的不同點說明，不僅絹的生産地不同，幡的製作習慣也不同，菩薩像不是沿著經線，而是和經線成直角。因此，無論風格上還是技法上，與其說這三件幡是在敦煌受西方影響時製作的，還不如說在其他某一地方製作，帶到敦煌更爲妥當。這些一連竄的幡中（包括收藏在新德里國立博物館的），雖然有吐蕃文的記錄，但無一例有長方形題箋，這也是值得注意的。","Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China; Whitfield 1982 / Paintings from Dunhuang; Whitfield & Farrer 1990 / Caves of the Thousand Buddhas. Chinese Art from the Silk Route; Whitfield 2004a / Aurel Stein on the Silk Road; Whitfield 2004b / The Silk Road. Trade, Travel, War and Faith.",Not on display,"Exhibited: 
1990 20 Oct-9 Dec, Japan, Tokyo, Setagaya Art Museum, Treasures of the British Museum, cat. no.155 
1991 5 Jan-20 Feb, Japan, Yamaguchi, Prefectural Museum of Art, Treasures of the British Museum, cat. no.155
1991 9 Mar-7 May, Japan, Osaka, National Museum of Art, Treasures of the British Museum, cat. no.155",,bodhisattva; lotus; vajra; 菩薩 (Chinese); 蓮花 (Chinese); 金剛 (Chinese),,,,,,,,,1919,"For full acquisition history, see 1919,0101,0.1.",,Asia,,"1919,0101,0.103",Miscellaneous number: Ch.lvi.002 (Stein no.),,,,191901010103
9,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_14/fa50bdf7_1c0a_452d_9855_a3b600ec4824/preview_00014158_003.jpg,banner; textile; 幡; 紡織品,No: MAS.877,,,,"These are two square-shaped fragments of plain woven silk patterned with the clamp-resist dyeing technique. MAS.876 has two confronting geese and a quarter of a roundel; MAS.877 has only half a goose but a larger area of quatrefoil, and one selvedge, 0.3 cm wide. By placing the two pieces together, Stein was able to reconstruct the pattern. It consists of two motifs: a dominant large roundel with encircled rosettes and a narrower inner roundel, enclosing four paired geese; and a four-petalled flower in the centre, and the other secondary quatrefoil. The repeat in the warp direction is about 56.6 cm but it is unclear in the weft direction.
The textile was dyed with two colours: orange for the geese, flowers and quatrefoil, and blue for the ground, the large roundel, the little pearl roundel and the leaves inside the roundel. Some green leaves of the quatrefoil were made by painting a yellow colour on the blue leaves. Another fragment from the same textile (but without geese) is in the State Hermitage Museum, St Petersburg (Дх51).
Weave structures: 
Warp: silk, untwisted, single, 50 ends/cm; Weft: silk, untwisted, 34 lats/cm. Weave structure: 1/1 plain weave.

兩片用夾纈製成的絲織品殘片，均爲正方形。一件MAS876中帶有一對大雁和四分之一的團窠，而MAS877中只有半隻大雁，但卻有更多的十樣賓花，以及0.3cm寬的幅邊。兩件織物原爲相鄰的兩片，正好可以拼在一起，圖案已在斯坦因《Serindia》中復原。圖案分團窠和十樣花兩個主題，團窠中間是四瓣花，然後是四對大雁，團窠環由聯珠小團花組成。圖案的經向循環約在56.6cm，緯向循環不明，但應與此相近。夾纈染色包括兩種基本色彩，一是橙色用於染雁、花和團窠環的底色，二是藍色用於染地、團窠環、小聯珠環以及團窠環內的葉子，十樣花上的葉子由於在藍色上加繪了黃色而呈現出綠色。同樣圖案的夾纈絹幡在聖彼得堡愛米塔什博物館中也有收藏（Дх51）。
組織結構：
經線：絲，無撚，單根排列，50根/cm；緯線：絲，無撚，34根/cm；組織：1/1平紋。",,,,,,,Tang dynasty; 唐代,8thC-9thC,,Excavated/Findspot: Cave 17;  Excavated/Findspot: 第17窟 (Chinese),silk; 絲綢,,,woven; clamp resist-dyed; 織造 (Chinese); 夾纈 (Chinese),Height: 40.60 centimetres mounted ; Height: 26.50 centimetres textile ; Width: 40.60 centimetres mounted ; Width: 26.20 centimetres textile ; Depth: 2.50 centimetres mounted ,,"Rawson 1994:
All types of textile art flourished during the Tang dynasty (AD 618-906) in China. An important group of Tang textiles has recently been found in excavations at the Famensi at Fufeng, in Shaanxi province; gifts to this monastery evidently included clothing as well as glass, silver and ceramics. Embroidery also continued to be developed and was used for large images of the Buddha built up in satin and chain stitch (BM MAS.0.1129). Most of the textiles found by Aurel Stein at Dunhuang in Gansu province, including banners, altar hangings and monks' apparel, follow the Buddhist convention of being made up of small cut pieces of different cloth. These 'patchwork' items provide an invaluable cross-section of the different types of silk cloth and embroidery available at the time (BM MAS.857).
Trade along the Silk Route was at its most vigorous during the Tang dynasty, and travellers record the bazaars of the Middle East as being full of Chinese patterned cloth and embroideries. Simultaneously we are told that the Tang capital at Chang'an (present-day Xi'an) was populated by large numbers of Iranian craftsmen. A silk weave now known as ""weft-faced compound twill"" appears among Chinese textiles for a few centuries from about AD 700. This may well have been a technique introduced by foreign weavers, as it seems to have been developed originally in Iran. In the West it was particularly associated with repeating designs of roundels enclosing paired or single animals, with flower heads or rosettes between the roundels (BM MAS.876). The outer border of this design is a sinicised version of the pearl roundel motif found on Sasanian metalwork and stucco while the naturalistic pairs of birds occur on Tang silver ang gold.
This piece of silk would have been folded diagonally and used as the top of long Buddhist banners.","Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China (drawing); Whitfield 1985 / Textiles, Sculpture and Other Arts; Whitfield & Farrer 1990 / Caves of the Thousand Buddhas. Chinese Art from the Silk Route; Rawson 1992 / The British Museum Book of Chinese Art; Zhao 2007 / Textiles from Dunhuang in UK Collections",Not on display,,,bird; 鳥 (Chinese),,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.877,Miscellaneous number: Ch.00304.b (Stein no.),,,,MAS877
