,Unnamed: 0,Unnamed: 0.1,Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects,id
0,0,0,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/efbb37f2_1388_4f50_9969_a3b5010b0043/00142857_001.jpg,capital,No: 1880.174,,,,"Part of a Corinthian capital. A rectangular projection from a plain and slightly wider backing block has an acanthus leaf with a central lobe drooping over a Buddha and on each side three lobes with points partly broken. The Buddha, with an oval head and a large plain projecting halo, is in dhyāna. His robe covers both shoulders and the hands, and spreads to lie in a straight edge below.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved; relief,Diameter: 20.20 centimetres; Height: 14.30 centimetres; Width: 22.90 centimetres,,"Zwalf 1996:
For a closely similar piece of similar dimensions see Chandigarh 2104 (AIIS 435-39).",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Light grey schist, chipped and with some soil incrustation. 
2.Flat top over projection slopes down to rougher surface with two deep rectangular mortises; bottom flat and smooth with incised line dividing it from Buddha's projecting seat; sides flat and tough. 
3.Back rough and uneven with some vertical chisel grooves.",leaf; buddha,Associated with: Buddha,,,,,,,,,,,Asia,,1880.174,,,,,1880174
1,1,1,https://media.britishmuseum.org/media/Repository/Documents/2014_11/12_11/61839819_2437_4014_95b0_a3e100c22b2b/preview_00101318_001.jpg,capital,No: 1880.172,,,,"Part of a Corinthian capital. Two angles are complete and the moulded abacus is further relieved by a prominent fillet over a flattened dentil-and-drop motif, and on each side of both angles is an open lotus. An upper edge leading to the volutes forms a sawtooth cornice and the 'pulvinus' between them is covered in a motif of acanthus points in low relief surrounding a blown lotus. Acanthus entirely covers a rectangular projection in the recess between the angles and rises to the abacus in the re-entrants; there are ten leaves, two under each angle, another at each of the re-entrants of the central projection and four on the projection itself, the two lower leaves in front in higher relief. All have drooping lobes, two of which form a canopy over the central Buddha. The points are nearly all damaged, and at the bottom of the re-entrants the leaves are tied together by their stalks.
On the face of the central projection the haloed Buddha, face vertically sliced off, sits in dhyāna, the hands covered in the robe over a semi-circular edge of the garment, the drapery folds in low relief between grooves below a slightly raised neckline. His rectangular seat is plain save for a sawtooth enrichment.
On the top the mortises above the angles must have secured the capital under an upper element, while cramps nearer the back provided a horizontal attachment at right angles to the face; on the underside is a plain, smooth, semicircular surface.",,,,,,,,,Made in: Gandhara (Pakistan),"Found/Acquired: Jamalgarhi (According to Cunninham, 1875: pl. XLIX.)",schist,,,carved; relief,Diameter: 28 centimetres; Height: 11.50 centimetres; Width: 71 centimetres,,"Zwalf 1996:
Cunningham proposed that a piece like this was combined with others to form a capital in the round, and he called it the upper portion of a half-capital; it may, however, have fitted above another capital element over an engaged column in a wall, a use seen constantly on the reliefs. For a discussion see Errington, 1987a: 233-4, 242-3; and Errington and Cribb, 1992: 205-6.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Light grey schist, broken, cracked and with some discoloration from soil deposits.
2.Top flat, almost smooth, some chisel grooves at back and tops of acanthi at front centre; four cramp mortises to back disposed in pairs to each side and another two mortises above volutes in front. 
3.Also, at different points, small holes (drilled and apparently modern). 
4.Black-painted '2'. 
5.Flat bottom partly smooth and of curved outline in front. 
6.At back a roughly rectangular projection with irregular re-entrants showing long vertical chisel grooves.",leaf; buddha,Associated with: Buddha,,,,Transferred from: India Museum,,,,,From the Archaeological Survey of India. This piece is identified by Sir Augustus Wollaston Franks in his letter of 21 February 1881 to Sir Alexander Cunningham as part of the material transferred from the India Museum.,,Asia,,1880.172,,,,,1880172
2,2,2,https://media.britishmuseum.org/media/Repository/Documents/2014_11/12_9/baa7dcfa_24d3_40a5_b953_a3e100a3dbf2/preview_00092882_001.jpg,capital,No: 1880.357,,,,"Part of a Corinthian capital like the preceding piece. The two complete angles have volutes, the 'pulvinus' between with three vertical foliate bands. The moulded abacus is further relieved by a prominent fillet and two open lotuses and two rosettes from undulating stalks on each side of the central projection. Acanthus entirely covers the recessed projection, but in the re-entrants are the plain upper edges of the indistinct inner volutes; there are ten leaves as in the preceding piece, two under each pair of volutes, another at each of the re-entrants under the inner volute and four on the projection. All have a drooping lobe, two of which form a canopy over the central Buddha. The points are nearly all damaged. The haloed Buddha is seated in abhaya on the obconical gynoecium of a lotus with downturned petals; his face is lost. His robe covers both shoulders; a thick edge runs down from the raised right wrist and the usual gathered drapery hangs from under the left hand. The carving along the sides is less elaborate and on the right shows no sign of continuing into an adjacent piece.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Jamalgarhi,schist,,,carved; relief,Diameter: 19 centimetres; Height: 10.60 centimetres; Width: 42.50 centimetres,,"Zwalf 1996:
This piece was formerly exhibited and published with BM 1892.0801.17 but there is no documentation to justify combining them.",Tokyo National Museum 2003a / Alexander the Great: East-West Cultural Contacts from Greece to Japan; Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,On display (G33/dc50b/s1),"Exhibited:
Exhibition: ""Alexander the Great: East-West Cultural Contacts from Greece to Japan"", Tokyo National Museum, 5 Aug-5 Oct 2003; Hyogo Prefectural Museum of Art, Kobe, 18 Oct-21 Dec 2003","1.Schist, broken and cracked. Carbonaceous muscovite-quartz-chloritoid-phyllite (Reedy in Errington and Cribb, 1992: 271 [no. 203] and figs 49-50). See also Newman, 1992: 164-5; 173.
2.Top flat with smooth and faint remains of'8' in black3 and a cramp mortise at each side to back; bottom flat with curved outline in front and incised 'J'; sides carved but only left, which is shorter, is carved all way to back. 
3.Back slopes down inward with vertical chisel grooves.",leaf; buddha,Associated with: Buddha,,,,Transferred from: India Museum,,,,,From the Archaeological Survey of India.,,Asia,,1880.357,,,,,1880357
3,3,3,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_18/507e8e27_c00a_4da2_9b30_a3ba012dcaa8/preview_00249096_001.jpg,diptych,"No: 1902,1220.176",,,,"A leaf in black schist from a diptych depicting on one side a headless seated figure, probably an ascetic and on the other the Assault of Mara in the upper register and in the lower the First Sermon.",,,,,,,,7thC,Made in: Gandhara (Pakistan) (?);  Made in: Kashmir (?),"Excavated/Findspot: Khotan (district) (Xinjiang Province, China)",schist,,,carved,Height: 8.50 centimetres,,"Zwalf 1985
Similar leaves of carved stone survive, parts of diptychs, portable folding objects showing scenes from the Buddha's life. The headless figure, hand on chin and seated on a stool above his Brahmin's waterpot, may be the ascetic who predicted the newborn's Buddha destiny; on the reverse panels show, above, the assault of Māra and, below, the First Sermon with the wheel just recognisable below the Buddha. The leaf was found at Khotan, in Central Asia, and is not the only example of this kind of object to have been found outside the Kashmir- Gandhara area of its manufacture.",Zwalf 1985 / Buddhism: Art and Faith,Not on display,,,buddha,Named in inscription & portrayed: Buddha,,Associated Event: First Sermon of the Buddha;  Associated Event: Assault of Mara,,,,,,1902,,,Asia,,"1902,1220.176",,,,,19021220176
4,4,4,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/c7da902d_8d03_46f9_8da1_a3b5010fb78a/preview_00144650_001.jpg,figure,No: 1880.185,The Buddha (Object),,,"Head from a Buddha image. The head is round to oval with hair undulating in thin strands of varying relief from a peak into the low and flat uṣṇīṣa. The face is very regular with sharp and evenly curving edges for eyebrows, long eyes set back under them and lids which project sharply over prominent eyeballs. An ūrṇā is in relief above a straight thin nose with a slightly drooping tip; the mouth has a narrow upper lip and a full lower lip. The chin is full and prominent.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 7 centimetres; Height: 19 centimetres; Width: 13.60 centimetres,,"Zwalf 1996:
The head is on a scale more probable for a cult image than a relief.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Light grey schist, broken, cracked and ingrained with soil. 
2.Crack from proper left eye down to and rounding chin; some losses on hair and usnisa. 
3.Back lost in fairly even vertical break from in front of ears. 
4.Plaster neck continues onto back of head.",buddha,Representation of: Buddha,,,,,,,,,,,Asia,,1880.185,,,,,1880185
5,5,5,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/2b85784e_1641_4f85_8a0e_a3b5010fc45b/preview_00144657_001.jpg,figure,No: 1880.187,The Buddha (Object),,,"Head from a Buddha image. The head is round to oval and the hair undulates densely from a peak. The face has a narrow curved forehead, a domed ūrṇā and sharp edges for eyebrows curving towards the ears above rounded planes sloping down to the narrow, long and slanting eyes with prominent lids with sharp edges. The broken nose had full nostrils and the thin mouth has a shaped and narrow upper lip. The full, rounded chin is prominent and seems pointed. The long and well-formed ears are close to the head with remains of long grooved lobes. Behind the uṣṇīṣa and against its base is a substantial, probably ancient, hole about 1.5 cm deep.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Jamalgarhi,schist,,,carved,Diameter: 14 centimetres; Height: 22.60 centimetres; Width: 14.20 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Light grey schist, broken and with soil incrustation. 
2.Nose, part of hairline, uṣṇīṣa, ears and right cheek damaged; unevenly broken under neck; back roughly flat, presumably sliced from the halo, incised with 'J' upside down and with '11983' in white paint.",buddha,Representation of: Buddha,,,,From: India Museum (number 11983),,,,,"Given in 1876 by Mrs Mary Eustace Smith to the former India Museum. For the donor see the India Museum Slip Book, nos 11751 —12000, in the offices of the present Indian and South-east Asian Section of the Victoria and Albert Museum; the old inscribed British Museum stand also mentions the India Museum.",,Asia,,1880.187,,,,,1880187
6,6,6,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/e788d89a_63ef_44c8_b1a0_a3b50116c9eb/00146754_001.JPG,figure,"No: 1902,1002.3",The Buddha (Object),,,"Seated Buddha in dhyāna. The thick neckline and the major drapery folds, especially across the chest, are in dense rounded ridges and terraces and become very mechanical over and below the hands, which are completely wrapped or covered. The head is long and oval, the hair runs from a peak into the large uṣṇīṣa. The features are asymmetrically distributed between the sides of the face, the eyebrows are now worn edges, the eyes are long and with distinct lids, the nose and mouth are thin and the lips are hardly shaped. The full chin is prominent and the long ears project unevenly. The pipal tree forms a large curved canopy above with its distinct leaves. The execution of the whole is strikingly dry and rustic, and the face and body appear compressed.
The panel on the face of the seat is flanked by one surviving Corinthian pilaster with a recessed oblong panel on the shaft and the usual base mouldings. Three damaged Buddhas repeat the main figure with a pair of pendent leafy branches beside each head.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Kuragh,schist,,,carved,Diameter: 12 centimetres; Height: 71.90 centimetres; Width: 33 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, exfoliated, rejoined and with soil incrustation. 
2.Halo between tree and head broken at sides; neck and shoulder damaged on left; knees and base irregularly sliced on both sides. 
3.Bottom flat and back rough with mainly short horizontal chisel grooves. 
4.Head and tree reattached at neck.",buddha,Representation of: Buddha,,,,Donated by: Capt B C Waterfield,,,,1902,,,Asia,,"1902,1002.3",,,,,190210023
7,7,7,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/0baaf87b_2ecd_4fc0_a6b8_a3b501190b00/00147356_001.JPG,figure,"No: 1904,1217.5",The Buddha (Object),,,"Seated Buddha in dhyāna against a throne back. The robe lies splayed in a straight edge between the legs, the raised neckline is curved and the drapery folds are flat curving strips between broad grooves. The head is globular and the hair radiates in wavy lines from the damaged forehead into the low and broad uṣṇīṣa; the full face is softly modelled, the slanting eyes have low lids under distinct and curving edges for eyebrows, the mouth and nose are damaged, the concave ears are close to the head. The damaged hands must have been covered, for nothing falls from the left wrist.
The rectangular scat has drapery in between the legs and, below the lower part of the halo, the throne back, which is rounded at the top corners, has a motif of squares bisected into triangles each containing a small indented triangle.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Swat Valley,schist,,,carved,Diameter: 5.10 centimetres; Height: 20.80 centimetres; Width: 13.50 centimetres,,"Zwalf 1996:
Compare 1902.1002.3, 1957.0215.1. 1902.1002.18, 1899.0715.12, 1880.76.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, exfoliated and with heavy soil incrustation. 
2.Head reattached; one corner of throne back repaired; edge of halo, face, hands and knees damaged. 
3.Sides straight and rough; bottom flat with rectangular tenon. 
4.Back flat with remains of large rectangular projection or tenon at middle bottom.",buddha,Representation of: Buddha,,,,,,,,1904,Purchased from Lieutenant-Colonel F. G L. Mainwaring.,,Asia,,"1904,1217.5",,,,,190412175
8,8,8,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_11/7cbd7e59_a845_43b7_bcac_a3c000c3c8e4/preview_00551193_001.jpg,figure,"No: 1950,1211.6",,,,"Left forearm and hand from a standing Buddha image. The drapery folds are mainly terraced, and along the damaged underside the drapery is clearly drawn towards the hand; a length of cloth runs across the palm, where at least two of the three flexed fingers hold it down and the thumb and index finger grasp it. The thumbnail has survived. The lobes on the base of the palm are separated by the life-line.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Takht-i-Bahi,stone,,,carved,Length: 19 centimetres; Width: 6.40 centimetres,,"Zwalf 1996:
It seems possible to see here a combination of two strips, one emerging from the wrapped arm and representing a corner of the robe held at the start of draping, the other representing an edge of the backthrow. 
The way the hand graps the cloth resembles closely 1880.73. See also 1947.0511.1.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken and exfoliated with some soil incrustation. 
2.Tips of fingers damaged; diagonal even break on underside of arm from elbow to wrist.",buddha,Representation of: Buddha,,,,Donated by: Aubrey Turnbull,,,,1950,,,Asia,,"1950,1211.6",,,,,195012116
9,9,9,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/e40b0d7f_dc79_45c2_ac89_a3b50116c01e/00146689_001.JPG,figure,"No: 1899,0715.3",The Buddha (Object),,,"Seated Buddha, originally in 'abhaya-mudra'. The thin, low neckline in high relief shows the backthrow, as does the generous edge under the left forearm. The dense surviving major drapery folds are rounded. The head is round to oval, the hair is almost straight and passes without sideburns over the ears into the uṣṇīṣa, which is drawn in at its base. The eyes run horizontally under sharp edges for eyebrows, ridged beside the damaged nose, and the prominent forehead has a long crease and a low ūrṇā. The mouth, under a hint of a moustache, is shaped, and the chin is full. The ears, with grooved lobes, are close to the head. The face, under its flattened and even hairline and long eyes, seems squat. The knees are distinguishable but the seat is almost entirely exfoliated. The halo was small and plain save for a groove close to the edge defining a border.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Takht-i-Bahi,schist,,,carved,Diameter: 11.50 centimetres; Height: 54.30 centimetres; Width: 31.80 centimetres,,"Zwalf 1996:
The term ‘backthrow’ refers to that part of the over-robe or outer-garment which is thrown over the left shoulder after the body has been draped.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, cracked and badly exfoliated. 
2.Halo with roughly flat sloping edge. Part of it is lost. 'Abhaya-mudra' arm barely preserved; left hand vestigial; legs and base worn. 
3.Where preserved, carving continues onto sides. 
4.Bottom roughly flat and uneaven back, with some horizontal chisel grooves.",buddha,Representation of: Buddha,,,,Purchased from: Gen Maclean,,,,1899,,,Asia,,"1899,0715.3",,,,,189907153
