Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects
https://media.britishmuseum.org/media/Repository/Documents/2020_3/16_15/366cc1e4_c7f2_48a2_ab04_ab8000fbaf9d/preview_GAA63893__4_.jpg,altar; base,"No: 1816,0610.330",,,,Fragment from angle of Parian marble small altar or plinth; relief decoration including Maenad with thrysos on one face and dancing woman on reverse.,,,,,,,Classical Greek,300 BC - 100 BC,Made in: Attica (Greece),,marble,,,,"Height: 24 centimetres max ",,,Sculpture / Catalogue of Greek Sculpture in the British Museum,Not on display,,,dance; mythical figure/creature,,,,,"Purchased from: Thomas Bruce, 7th Earl of Elgin",,,,1816,,,Greek and Roman,,"1816,0610.330",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/370c6232_325f_4df4_96f1_a3bb016e568f/preview_00383136_001.jpg,amphora,"No: 1895,1020.2",,,,"Miniature terracotta flask.
An amphoriskos decorated in relief: on each side is a figure of Eros, naked and standing to front, his wings spread; he holds a bee to his chest with both hands. In one case his hair is brushed away from his face, in the other it falls in locks on each side of his head; in both cases he probably has a braid on top of his head; there are other slight differences. He stands on a small socle, from below which acanthus leaves rise on each side, extending to the handle-spring. The shoulder of the vase has an ivy-wreath band, and short ribbons fall from it on each side of the handles. The handles have square shoulders; the mouth is broken away. The spike has a moulding round its top and a small depression underneath.
Two-piece mould, the halves made from closely similar but different archetypes. The join has a wide flat finish which divides the acanthus leaves that flank the erotes. The handles were modelled and added after the body left the mould. Micaceous orange marl clay with a buff (salt-induced?) surface.",,,,,,,Ptolemaic,150BC-50BC,Made in: Egypt,Excavated/Findspot: Egypt,terracotta,,,,"Diameter: 6 centimetres max ; Height: 12.20 centimetres max ",,"BM Terracotta IV
Comparanda. Close in shape (and workshop?) to Edgar 1911: pl. xxi:26274, dated to the Hellenistic period = Pagenstecher 1913: 79, fig. 92h, and also to Mandel 1988: 285, figs 22 and 23, which has the same acanthus at the join.; Roman Pottery
The bee may be intended to represent Psyche; it was regarded by the Greeks as an emblem of the soul, like the butterfly (cf. J.H.S. xv. (1895), p. 19.",Roman Pottery / Catalogue of the Roman Pottery in the British Museum; Terracotta / Catalogue of Terracottas in the British Museum,Not on display,,,classical deity; insect,Representation of: Eros/Cupid;  Representation of: Psyche (?),,,,Donated by: Sir William Matthew Flinders Petrie,,,,1895,,,Greek and Roman,,"1895,1020.2",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_18/730835d4_ea7f_47e2_9ec3_a3c10128c43f/preview_00684117_001.jpg,ampulla,No: EA15476,,,,"A double-sided flask with similar Janiform heads of Harpokrates (or perhaps of a childlike Bes): he has vertical locks over his forehead and falling on each side of his face. His tongue is slightly extended, and he wears a diadem in the centre of which is a wedjat eye flanked on each side by a transverse bar and a boss. The narrow neck of the vessel, broken at the mouth, has a handle on each side, voluted at the lower spring. Harpokrates' neck is cut off by a flat base. Two-piece mould. Micaceous dark brown to grey Nile silt, with a black slip (Memphis Black Ware).",,,,,,,Ptolemaic,2ndC BC-1stC BC,,Excavated/Findspot: Fayum,pottery,,,,Height: 6.20 centimetres; Width: 4 centimetres; Depth: 4.40 centimetres,,"Terracotta IV
Purchased: Greville J. Chester.
Ptolemaic: second or first century BC.",Terracotta / Catalogue of Terracottas in the British Museum,Not on display,,good,ancient egyptian deity; eye of horus,Representation of: Harpocrates (?);  Representation of: Bes (?),,,,Purchased from: Rev Greville John Chester,,,,1879,,,Egypt and Sudan,EA15476,"1879,1120.36",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_15/603a7cec_2cf2_4cbd_9d9d_a3b50105195b/preview_00141005_001.jpg,ampulla,No: EA36033,,,,"A double-sided flask with similar Janiform heads of Harpokrates (or perhaps of a childlike Bes): he has vertical locks over his forehead and falling on each side of his face. The mouth of the vessel is intact and flare. It has two handles. Two-piece mould. Micaceous brown Nile silt, with a worn matt red slip: probably a misfired version of Memphis Black Ware.",,,,,,,Ptolemaic,2ndC BC-1stC BC,,Found/Acquired: Egypt,pottery,,,,Height: 7.10 centimetres; Width: 4.10 centimetres; Depth: 4.50 centimetres,,"Terracotta IV
Purchased: Greville J. Chester.
Very close to registration no. 1879,1120.36, but not from the same mould-series: the main difference is the length of the locks of hair over the forehead. 
Ptolemaic, second or first century BC.",Terracotta / Catalogue of Terracottas in the British Museum,Not on display,,good,ancient egyptian deity,Representation of: Harpocrates (?);  Representation of: Bes (?),,,,Purchased from: Rev Greville John Chester,,,,1867,,,Egypt and Sudan,EA36033,"1867,0915.67",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/fcb3b159_dfb9_4204_b135_a3bb016d0371/preview_00382727_001.jpg,ampulla,No: EA15480,,,,"A terracotta flask modelled as a caricature of a hedgehog with a human face (a Nubian?), the hair representing the spines of the animal, and with legs and tail shown. A narrow neck and ridged mouth rises from back of the animal, and is furnished with two handles. It has a raised base: a modern mount obscures the details underneath. Two-piece mould. Grey-brown Nile silt, with an overall black slip: Memphis Black Ware.",,,,,,,Ptolemaic,2ndC BC,,Found/Acquired: Fayum,pottery,,,glazed,"Height: 7.30 centimetres max ; Width: 4.70 centimetres max ; Depth: 5.60 centimetres max ",,"Terracotta IV
Purchased: Greville J. Chester. Acquired in the Fayum.
Ptolemaic, second century BC.
Comparanda: (Mostly Memphis Black Ware.) Close: Edgar 1911: pl. xxv:26317; Graindor 1939: pl. xxxi:91 (more elongated). Near (more hedgehog than Nubian): Ede n.d.a: lot 37, dated c. first century ad; Fischer 1994: no. 1152, dated late Hellenistic to early Roman (?); Perdrizet 1921: no. 407, from Memphis = von Droste zu Hülschoff 1980: pls viii:83 and ix:88.",Terracotta / Catalogue of Terracottas in the British Museum,Not on display,,good,,,,,,Purchased from: Rev Greville John Chester,,,,1881,,,Egypt and Sudan,EA15480,"1881,0614.4",Miscellaneous number: BS.4759.e (Birch Slip Number),,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/4_14/4128b954_e489_41e3_89b7_a3d900f45da5/preview_01164473_001.jpg,amulet; figure,No: null,,,,"Mould-made amuletic figure in glazed composition, representing an unclear deity (possibly a male deity with a short kilt) striding on a rectangular base, with arms to the sides; very roughly made with very crude, schematic and blurred features; suspension hole pierced widthways through the head; pale yellowish glaze mostly worn; front part of head broken off.",,,,,,,Late Period; Ptolemaic,6thC BC - 2ndC BC,Made in: Egypt,Excavated/Findspot: Naukratis,glazed composition,,,glazed; mould-made,Height: 2 centimetres; Length: 0.60 centimetres; Width: 0.60 centimetres,,,Villing et al 2013-2015 / Naukratis: Greeks in Egypt (phase 3),Not on display,,Relatively poor,ancient egyptian deity,,,,,,,,"Currently owned by: World Museum, Liverpool",1886,,Excavated: 1884-1885. Donated by Egypt Exploration Fund in 1886,External,,,"Miscellaneous number: 9,9,86,76 (Accession Number)",,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/3_14/41656c54_e808_44a7_986a_a3d800e843fb/preview_01143333_001.jpg,amulet; figure,No: null,,,,"Mould-made amuletic figure in glazed composition (middle on the image), representing a male human-shaped deity with an animal face, possibly the lion-headed god Mahes (or Mihos); standing, in a striding pose on small rectangular base, with arms by his sides, leaning against back pillar; wearing a short striated kilt;  roughly made with very schematic features and crude incisions for details; suspension loop pierced widthways on the top of the head; green glaze patchily preserved; beige cream paste; almost complete, base chipped.",,,,,,,Late Period; Ptolemaic,6thC BC - 2ndC BC,Made in: Egypt,Excavated/Findspot: Naukratis,glazed composition,,,mould-made; incised; glazed,Height: 3.10 centimetres; Width: 0.80 centimetres; Depth: 1.20 centimetres,,"If the identification of the deity represented as Mahes is correct, then it joins a very small group of figures of this warrior god discovered in Naukratis (Masson forthcoming): Oxford, Ashmolean Museum AN1896-1908-EA.683; BM 1885,1101.84; Boston, Museum of Fine Arts 86.807.
On Mahes amulets see: Andrews 1994, 25, fig. 23b; Herrmann et al. 2010, 44 (type 13).
Andrews, C. 1994, Amulets of Ancient Egypt, London.
Herrmann, C., Staubli, T., Berger-Lober, S., Keel, O., Schönbächler, G. 2010, 1001 Amulett : altägyptischer Zauber, monotheisierte Talismane, säkulare Magie, Bibel+Orient-Museum, Liebefeld, Stuttgart.
Masson, A. forthcoming, ‘Naukratis: Egyptian offerings in context’, in M. Bergeron and A. Masson (eds.), Naukratis in Context II: Cults, Sanctuaries and Offerings. Proceedings of the Second Naukratis Project Workshop held at The British Museum, 22nd-23rd June 2013.",Villing et al 2013-2015 / Naukratis: Greeks in Egypt (phase 3),Not on display,,Rather fair,ancient egyptian deity,Representation of: Maihesa (?),,,,,,,,,,,External,,,Miscellaneous number: H1051.2 (Accession Number),,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/4_12/9cbb164f_38c0_4240_a2bf_a3d900d61cc8/preview_01155161_001.jpg,amulet; figure,No: null,,,,"Solid cast amuletic figure of human-shaped god Nefertum in copper alloy; Nefertum in striding pose with his arms by his sides, wearing his characteristic lotus-shaped headdress and tripartite wig; suspension loop behind the head; the loop and the lower part of the legs are broken off; worn features; corroded.",,,,,,,Ptolemaic; Late Period,6thC BC - 1stC BC,Made in: Egypt,Excavated/Findspot: Naukratis,copper alloy,,,solid-cast,Height: 5.85 centimetres; Width: 1.50 centimetres; Depth: 1.20 centimetres,,"Nefertum is a deity particularly revered in the Memphite region, as the son in the Memphite sacred triad, and Bubastis through his close association with Bastet/Sekhmet (Hill and Schorsch 2007, 143-145; Weiss 2012, 106). His cult was however relatively popular in the whole Delta region.
This amuletic figure belongs to the type 27 in the typology of bronze figures by K. Weiss (Weiss 2012, 105-106, 557-561, Pl. 8c- e, Typ 27, esp. Nr. 147 for this specimen), a type which was mainly found in the Memphite region and Bubastis and which appeared in the 25th dynasty. A few similar copper alloy amulets were found at Naukratis, such as Liverpool World Museum 9,9,86,107 and Bristol City Art Gallery & Museum H1034.1. 
Petrie mentioned two broken bronze figures of Nefertum from the cache found in a building located in the southern part of the city (on this cache and its content: Petrie 1886, 41- 42; Masson 2015). Naukratis provided also several amulets in glazed composition and stone representing Nefertum in addition to these amulets (Masson 2015, 77, fig. 3.8). During the Late Period, Nefertum’s role widened to ‘bearer of good fortune’ explaining his popularity as an amuletic figure (Heinz 2011, 217).
Heinz, S. 2011, ‘The lead statuettes and amulets of Heracleion-Thonis’, in A. C. Smith and M. E. Bergeron (eds.), The Gods of Small Things, Toulouse, 211-232.
Hill, M. and Schorsch, D. (eds.) 2007, Gifts for the gods: images from Egyptian temples, Metropolitan Museum of Art, New York.
Masson, A. 2015, ‘Cult and Trade. A reflexion on Egyptian metal offerings from Naukratis’, in D. Robinson and F. Goddio (eds), Thonis Heracleion in Context, Oxford Centre for Maritime Archaeology Monograph 8, Oxford, 71-88.
Petrie, W. M. F. 1886, Naukratis. Part I., 1884-5 (Third Memoir of the Egypt Exploration Fund), London.
Weiss, K. 2012, Ägyptische Tier- und Götterbronzen aus Unterägypten: Untersuchungen zu Typus, Ikonographie und Funktion sowie der Bedeutung innerhalb der Kulturkontakte zu Griechenland, Ägypten und Altes Testament 81.","Weiss 2012 / Ägyptische Tier- und Götterbronzen aus  Unterägypten : Untersuchungen zu Typus, Ikonographie und  Funktion sowie der Bedeutung innerhalb der Kulturkontakte zu Griechenland; Villing et al 2013-2015 / Naukratis: Greeks in Egypt (phase 3)",Not on display,,"Relatively poor, broken and incomplete",ancient egyptian deity,Representation of: Nefertum,,,,,,,,,,Excavated in 1884. Donated by Egypt Exploration Fund.,External,,,Miscellaneous number: H1034.1 (Accession Number),,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/4_14/d34d6f1f_fa5b_4295_b603_a3d900f21e3d/preview_01163753_001.jpg,amulet; figure,No: null,,,,"Mould-made amuletic figure in glazed composition, representing the dwarf god Pataikos; naked, crouching on a small rectangular base, with arms to his sides; very roughly  made; very crude, schematic features with a few deeply incised  details (navel, line between chest and breast, buttocks); suspension hole is pierced widthways in the head, with a square protuberance on the back; turquoise glaze well preserved; upper part of face broken off.",,,,,,,Late Period; Ptolemaic,6thC BC - 2ndC BC,Made in: Egypt,Excavated/Findspot: Naukratis,glazed composition,,,mould-made; incised; glazed,Height: 2.10 centimetres; Thickness: 0.70 centimetres; Width: 1 centimetres,,"Pataikos might be related with the god Ptah as a craftman god (Andrews 1994, 39). He is definitely linked with the other dwarf god Bes, with whom he appears often on the same amulet or in the same context (on the relationship between these two gods: Bulté 1998, 379 and 382). As an amulet, Pataikos seems to appear as early as the 6th dynasty, although amulets of the dwarf god are better identified from the New Kingdom onwards (Andrews 1994, 39). His amulets are very common during the Late and Ptolemaic periods (as illustrated in Mendes: Wilson 1982, 32, pl. XXIX n°3-4) and as popular as Bes in Naukratis (Masson forthcoming).
For various types of Pataikos amulets see: Herrmann et al. 2010, 75-79 (type 36).
Andrews, C. 1994, Amulets of Ancient Egypt, London.
Bulté, J. 1998, ‘À propos d'une tête de Patèque de Tanis Sân 93-351, OAE 3423’, in P. Brissaud and C. Zivie-Coche, Tanis : travaux récents sur le Tell Sân el-Hagar - MFFT 1987-1997, Paris, 379-389.
Herrmann, C., Staubli, T., Berger-Lober, S., Keel, O., Schönbächler, G. 2010, 1001 Amulett : altägyptischer Zauber, monotheisierte Talismane, säkulare Magie, Bibel+Orient-Museum, Liebefeld, Stuttgart.
Masson, A. forthcoming, ‘Naukratis: Egyptian offerings in context’, in M. Bergeron and A. Masson (eds.), Naukratis in Context II: Cults, Sanctuaries and Offerings. Proceedings of the Second Naukratis Project Workshop held at The British Museum, 22nd-23rd June 2013.
Wilson, K.L. 1982, Cities of the Delta, Part II: Mendes – Preliminary Report on the 1979 and 1980 Seasons (American Research Center in Egypt Report 5), Malibu.",Villing et al 2013-2015 / Naukratis: Greeks in Egypt (phase 3),Not on display,,"Rather fair, top of the face broken off.",ancient egyptian deity,Representation of: Pataikos,,,,,,,"Currently owned by: World Museum, Liverpool",1886,,Excavated: 1884-1885. Donated by Egypt Exploration Fund in 1886,External,,,"Miscellaneous number: 9,9,86,61 (Accession Number)",,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/3_14/6e658474_0ea4_40e6_9806_a3d800e8325b/preview_01143270_001.jpg,amulet; figure,No: null,,,,"Solid cast amuletic figure in copper alloy; representing Nefertum on base, in striding pose with his arms by his sides, wearing his characteristic lotus-shaped headdress and a false beard; suspension loop behind the head; the lower parts of the legs are broken off; features are worn and much corroded.",,,,,,,Ptolemaic; Late Period,6thC BC - 2ndC BC,Made in: Egypt,Excavated/Findspot: Naukratis,copper alloy,,,solid-cast,Height: 3.55 centimetres; Width: 0.70 centimetres; Depth: 1.20 centimetres,,"Nefertum is a deity particularly revered in the Memphite region, as the son in the Memphite sacred triad, and Bubastis through his close association with Bastet/Sekhmet (Hill and Schorsch 2007, 143-145; Weiss 2012, 106). His cult was however relatively popular in the whole Delta region.
This amuletic figure belongs to the type 27 in the typology of bronze figures by K. Weiss (Weiss 2012, 105-106, 557-561, Pl. 8c- e, Typ 27, esp. Nr. 147 for this specimen), a type which was mainly found in the Memphite region and Bubastis and which appeared in the 25th dynasty. A few similar copper alloy amulets were found at Naukratis, such as Liverpool World Museum 9,9,86,107 and Bristol City Art Gallery & Museum H1034.1. 
Petrie mentioned two broken bronze figures of Nefertum from the cache found in a building located in the southern part of the city (on this cache and its content: Petrie 1886, 41- 42; Masson 2015). Naukratis provided also several amulets in glazed composition and stone representing Nefertum in addition to these amulets (Masson 2015, 77, fig. 3.8). During the Late Period, Nefertum’s role widened to ‘bearer of good fortune’ explaining his popularity as an amuletic figure (Heinz 2011, 217).
Heinz, S. 2011, ‘The lead statuettes and amulets of Heracleion-Thonis’, in A. C. Smith and M. E. Bergeron (eds.), The Gods of Small Things, Toulouse, 211-232.
Hill, M. and Schorsch, D. (eds.) 2007, Gifts for the gods: images from Egyptian temples, Metropolitan Museum of Art, New York.
Masson, A. 2015, ‘Cult and Trade. A reflexion on Egyptian metal offerings from Naukratis’, in D. Robinson and F. Goddio (eds), Thonis Heracleion in Context, Oxford Centre for Maritime Archaeology Monograph 8, Oxford, 71-88.
Petrie, W. M. F. 1886, Naukratis. Part I., 1884-5 (Third Memoir of the Egypt Exploration Fund), London.
Weiss, K. 2012, Ägyptische Tier- und Götterbronzen aus Unterägypten: Untersuchungen zu Typus, Ikonographie und Funktion sowie der Bedeutung innerhalb der Kulturkontakte zu Griechenland, Ägypten und Altes Testament 81.","Weiss 2012 / Ägyptische Tier- und Götterbronzen aus  Unterägypten : Untersuchungen zu Typus, Ikonographie und  Funktion sowie der Bedeutung innerhalb der Kulturkontakte zu Griechenland; Villing et al 2013-2015 / Naukratis: Greeks in Egypt (phase 3)",Not on display,,"Poor, broken and corroded",ancient egyptian deity,Representation of: Nefertum,,,,,,,,,,Excavated in 1884. Donated by Egypt Exploration Fund.,External,,,Miscellaneous number: H1034.2 (Accession Number),,
