filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
12745.jpg	1	255	79.1453	0	57.9964	0	28.004
13769.jpg	2	1	78.6528	0	92.7181	0	57.8092
17560101955.jpg	3	152	65.3201	2	14.1622	28	79.1901
176009191.jpg	4	0	40.8305	0	50.7241	0	61.7298
1772031479.jpg	5	243	33.4117	6	64.2964	34	12.9995
1805070377.jpg	6	155	50.7269	66	52.8358	25	72.0825
1805070386.jpg	7	0	53.6015	0	61.3642	0	28.4287
18140704823.jpg	8	89	47.8886	102	46.4332	13	74.3919
18140704825.jpg	9	163	27.8078	74	45.7099	23	36.9323
18140704844.jpg	10	157	38.0806	105	53.9785	20	32.0172
18140704860.jpg	11	175	43.4082	170	72.0013	27	3.377
18140704884.jpg	12	163	36.7612	127	64.5323	15	52.0225
18160610330.jpg	13	104	28.5622	101	58.7962	22	63.5358
1824030142.jpg	14	31	75.1428	65	59.6143	181	92.5737
1824030149.jpg	15	0	58.7719	0	64.6553	0	50.6235
1824046021.jpg	16	201	80.413	2	30.252	106	29.6771
183908062.jpg	17	0	70.3694	0	64.5112	0	26.0217
184207281098.jpg	18	244	52.9399	0	9.545	0	36.8476
18420728750.jpg	19	192	42.2483	38	35.9674	26	52.8508
1848080417.jpg	20	243	75.5508	0	9.4998	0	83.762
1848080435.jpg	21	245	61.2987	0	9.8286	0	47.0176
1852060954.jpg	22	150	89.5886	0	23.0282	0	79.7411
185402141.jpg	22	150	89.5886	0	23.0282	0	79.7411
1855110126.jpg	24	0	70.3916	0	57.3817	0	24.719
185605291.jpg	25	220	61.5181	3	3.2396	70	35.1978
185605292.jpg	26	223	69.2596	11	17.0286	35	17.1658
1856071017.jpg	27	133	25.7817	97	27.6233	20	6.5698
1856071020.jpg	28	172	37.6756	107	36.1257	30	7.9307
1856071027.jpg	29	169	65.4506	77	26.2332	21	28.0161
185607104.jpg	30	154	49.2001	132	42.3796	19	3.005
18560826160.jpg	31	139	68.9929	4	7.2542	42	29.6746
1856090245.jpg	32	246	55.4143	0	12.9416	0	42.8385
1856100134.jpg	33	113	68.3996	72	28.7146	192	84.6802
1856100136.jpg	34	35	51.9727	0	26.0404	0	56.7995
1856100153.jpg	35	179	69.0682	0	13.8924	0	46.255
1856100172.jpg	36	242	68.6228	0	13.6033	0	71.1871
18561004151.jpg	37	238	60.1638	0	9.4182	0	84.382
18561004152.jpg	38	238	55.6096	2	10.6893	42	56.3982
185612261143.jpg	39	216	71.8268	15	46.4245	176	41.6037
185612261487.jpg	40	21	84.5701	50	63.7265	22	30.0463
185612261707.jpg	41	132	69.0303	141	59.5552	27	22.7103
185612261725.jpg	42	109	77.0145	101	57.4773	28	24.896
185612261750.jpg	43	180	37.8794	48	61.5688	23	66.1773
18561226232.jpg	44	237	63.0086	0	8.3711	0	45.2538
185705271.jpg	45	228	57.4205	0	10.202	0	62.9029
18571220111.jpg	46	117	81.2055	70	23.9368	206	53.4873
18571220114.jpg	47	130	82.0873	68	17.7626	200	49.0405
18571220116.jpg	48	107	80.7483	81	25.0175	224	49.9219
18571220138.jpg	49	110	81.7097	69	18.7279	196	70.5183
18571220139.jpg	50	96	80.5942	63	23.3548	197	80.0583
18591226156.jpg	51	24	85.3746	87	33.0752	177	82.5782
18591226157.jpg	52	242	78.6872	0	16.4789	0	94.8311
18591226165.jpg	53	243	63.9051	0	8.6461	0	52.6923
18591226174.jpg	54	132	84.4706	57	26.8807	207	27.0111
